"organization_name","title_es","title_en","summary_es","summary_en","description_es","description_en","slug","primary_category","additional_categories","keywords_es","keywords_en","languages","service_methods","cost_type","eligibility_es","eligibility_en","required_documents_es","required_documents_en","application_steps_es","application_steps_en","hours_es","hours_en","accessibility_notes_es","accessibility_notes_en","service_area_es","service_area_en","phone","sms_phone","whatsapp_phone","email","website_url","address_line_1","address_line_2","city","state","postal_code","county","latitude","longitude","source_url","is_featured","is_emergency","last_verified_at","verification_notes"
"The Caring Place","The Caring Place","The Caring Place","Despensa de alimentos y apoyo comunitario para residentes de Condado de Williamson.","Food pantry and community support for residents of Williamson County.","Ofrece acceso a alimentos. Comuníquese directamente con la organización para confirmar disponibilidad, requisitos y otros apoyos.","Access to food pantry monthly
Financial assistance for those within their service ares with required documentation (rent, mortgage, utilities, housing deposit, transportation assistance, emergency dental and prescription assistance, temporary emergency shlter
Voucher for clothing and household goods at their thrift store","the-caring-place-williamson","comida","","alimentos, despensa, comida, apoyo comunitario","food, food pantry, groceries, community support","","in_person","unknown","","","","","Comuníquese con la organización para confirmar disponibilidad y requisitos antes de acudir.","Contact the organization to confirm availability and requirements before visiting.","lunes:  9am-4pm
martes:  9am-4pm
miércoles: 9am-4pm
viernes: 9am-4pm
CERRADO ON juevesS","Monday:  9am-4pm
Tuesday:  9am-4pm
Wednesday: 9am-4pm
Friday: 9am-4pm
CLOSED ON THURSDAYS","","","Condado de Williamson","Williamson County","(512) 943-0700","","","","https://www.caringplacetx.org/","2000 Railroad Ave. Georgetown, TX 78626","","","TX","78626","Williamson","","","https://www.caringplacetx.org/","","","2026-09-02","Existencia o ubicación cotejada el 2026-09-02 con el directorio oficial Find Food Now del Central Texas Food Bank; revise horarios directamente antes de publicar."
"First Presbyterian Church of Georgetown","First Presbyterian Church of Georgetown","First Presbyterian Church of Georgetown","Despensa de alimentos y apoyo comunitario para residentes de Condado de Williamson.","Food pantry and community support for residents of Williamson County.","Ofrece acceso a alimentos. Comuníquese directamente con la organización para confirmar disponibilidad, requisitos y otros apoyos.","Canned foods, snacks, hygiene items, refillable water bottles, clothing
One visit per week
Free coffee both days","first-presbyterian-church-of-georgetown-williamson","comida","","alimentos, despensa, comida, apoyo comunitario","food, food pantry, groceries, community support","","in_person","free","","","","","Comuníquese con la organización para confirmar disponibilidad y requisitos antes de acudir.","Contact the organization to confirm availability and requirements before visiting.","martes: 1pm-3pm
miércoles: 9:30am-11:30am","Tuesday: 1pm-3pm
Wednesday: 9:30am-11:30am","","","Condado de Williamson","Williamson County","(512) 863-3381","","","","https://fpcgeorgetown.org","703 South Church St. (enter white door)","","","","","Williamson","","","https://fpcgeorgetown.org","","","2026-07-08","Registro preparado a partir de “Food Pantries by County.xlsx”; requiere revisión administrativa antes de publicar."
"Round Rock Area Serving Center","Round Rock Area Serving Center","Round Rock Area Serving Center","Despensa de alimentos y apoyo comunitario para residentes de Condado de Williamson.","Food pantry and community support for residents of Williamson County.","Ofrece acceso a alimentos. Comuníquese directamente con la organización para confirmar disponibilidad, requisitos y otros apoyos.","Financial assistance for utilities, rent, prescriptions, payday loan assistance, transportation, temporary lodging
Amazon Home Delivery Program (60yrs+)","round-rock-area-serving-center-round-rock","comida","","alimentos, despensa, comida, apoyo comunitario","food, food pantry, groceries, community support","","in_person","unknown","","","","","Comuníquese con la organización para confirmar disponibilidad y requisitos antes de acudir.","Contact the organization to confirm availability and requirements before visiting.","lunes-viernes: 10am-4pm
sábado: 10am-4pm","Monday-Friday: 10am-4pm
Saturday: 10am-4pm","","","Condado de Williamson","Williamson County","(512) 244-2431","","","","https://www.rrasc.org/","1099 E Main Street, Round Rock, TX 78664","","Round Rock","TX","78664","Williamson","","","https://www.rrasc.org/","","","2026-07-08","Registro preparado a partir de “Food Pantries by County.xlsx”; requiere revisión administrativa antes de publicar."
"St. Vincent De Paul","St. Vincent De Paul","St. Vincent De Paul","Despensa de alimentos y apoyo comunitario para residentes de Condado de Williamson.","Food pantry and community support for residents of Williamson County.","Ofrece acceso a alimentos. Comuníquese directamente con la organización para confirmar disponibilidad, requisitos y otros apoyos.","Provides access to food. Contact the organization directly to confirm availability, requirements, and additional support.","st-vincent-de-paul-round-rock","comida","","alimentos, despensa, comida, apoyo comunitario","food, food pantry, groceries, community support","","in_person","unknown","","","","","Comuníquese con la organización para confirmar disponibilidad y requisitos antes de acudir.","Contact the organization to confirm availability and requirements before visiting.","lunes: 9am-12pm
viernes: 9am-12pm","Monday: 9am-12pm
Friday: 9am-12pm","","","Condado de Williamson","Williamson County","(512) 255-2330","","","","","620 Round Rock West Drive, Round Rock, TX 78681","","Round Rock","TX","78681","Williamson","","","https://www.centraltexasfoodbank.org/find-food-now","","","2026-09-02","Existencia o ubicación cotejada el 2026-09-02 con el directorio oficial Find Food Now del Central Texas Food Bank; revise horarios directamente antes de publicar."
"Round Rock Seventh Day Adventist Church","Round Rock Seventh Day Adventist Church","Round Rock Seventh Day Adventist Church","Despensa de alimentos y apoyo comunitario para residentes de Condado de Williamson.","Food pantry and community support for residents of Williamson County.","Ofrece acceso a alimentos. Comuníquese directamente con la organización para confirmar disponibilidad, requisitos y otros apoyos.","Provides access to food. Contact the organization directly to confirm availability, requirements, and additional support.","round-rock-seventh-day-adventist-church-williamson","comida","","alimentos, despensa, comida, apoyo comunitario","food, food pantry, groceries, community support","","in_person","unknown","","","","","Comuníquese con la organización para confirmar disponibilidad y requisitos antes de acudir.","Contact the organization to confirm availability and requirements before visiting.","jueves: 3pm-6pm? 9am-11am??? need to confirm","Thursday: 3pm-6pm? 9am-11am??? need to confirm","","","Condado de Williamson","Williamson County","(512) 388-7870","","","","","4 Applegate Circle Round Rock, TX 78665","","","TX","78665","Williamson","","","https://www.centraltexasfoodbank.org/find-food-now","","","2026-09-02","Existencia o ubicación cotejada el 2026-09-02 con el directorio oficial Find Food Now del Central Texas Food Bank; revise horarios directamente antes de publicar."
"Church of the Harvest","Church of the Harvest","Church of the Harvest","Despensa de alimentos y apoyo comunitario para residentes de Condado de Williamson.","Food pantry and community support for residents of Williamson County.","Ofrece acceso a alimentos. Comuníquese directamente con la organización para confirmar disponibilidad, requisitos y otros apoyos.","Provides access to food. Contact the organization directly to confirm availability, requirements, and additional support.","church-of-the-harvest-williamson","comida","","alimentos, despensa, comida, apoyo comunitario","food, food pantry, groceries, community support","","in_person","unknown","","","","","Comuníquese con la organización para confirmar disponibilidad y requisitos antes de acudir.","Contact the organization to confirm availability and requirements before visiting.","martes: 4pm-7pm
jueves: 4pm-7pm
sábado: 10am-1pm","Tuesday: 4pm-7pm
Thursday: 4pm-7pm
Saturday: 10am-1pm","","","Condado de Williamson","Williamson County","(512) 916-3601","","","","","2701 Gattis School Rd. Round Rock, TX 78664","","","TX","78664","Williamson","","","https://www.centraltexasfoodbank.org/find-food-now","","","2026-09-02","Existencia o ubicación cotejada el 2026-09-02 con el directorio oficial Find Food Now del Central Texas Food Bank; revise horarios directamente antes de publicar."
"Foundation Communities - Lakeline Station","Foundation Communities - Lakeline Station","Foundation Communities - Lakeline Station","Despensa de alimentos y apoyo comunitario para residentes de Condado de Williamson y Condado de Travis.","Food pantry and community support for residents of Williamson County and Travis County.","Ofrece acceso a alimentos. Comuníquese directamente con la organización para confirmar disponibilidad, requisitos y otros apoyos.","Provides access to food. Contact the organization directly to confirm availability, requirements, and additional support.","foundation-communities-lakeline-station-williamson","comida","","alimentos, despensa, comida, apoyo comunitario","food, food pantry, groceries, community support","","in_person","unknown","","","","","Comuníquese con la organización para confirmar disponibilidad y requisitos antes de acudir.","Contact the organization to confirm availability and requirements before visiting.","2nd and 4th luness: 11am-1pm","2nd and 4th Mondays: 11am-1pm","","","Condado de Williamson; Condado de Travis","Williamson County; Travis County","(512) 615-4755","","","","","13635 Rutledge Spur, Austin, TX","","","TX","13635","","","","https://www.centraltexasfoodbank.org/find-food-now","","","2026-09-02","Existencia o ubicación cotejada el 2026-09-02 con el directorio oficial Find Food Now del Central Texas Food Bank; revise horarios directamente antes de publicar."
"Reveal Resource Center","Reveal Resource Center","Reveal Resource Center","Despensa de alimentos y apoyo comunitario para residentes de Condado de Williamson.","Food pantry and community support for residents of Williamson County.","Ofrece acceso a alimentos. Comuníquese directamente con la organización para confirmar disponibilidad, requisitos y otros apoyos.","Clothing assisatnce available monthly, adult and baby diapers (when available) for enrolled clients.
No financial assistance offered","reveal-resource-center-williamson","comida","","alimentos, despensa, comida, apoyo comunitario","food, food pantry, groceries, community support","","in_person","unknown","","","","","Comuníquese con la organización para confirmar disponibilidad y requisitos antes de acudir.","Contact the organization to confirm availability and requirements before visiting.","luness: 7pm-8pm
martess: 9am-12pm","Mondays: 7pm-8pm
Tuesdays: 9am-12pm","","","Condado de Williamson","Williamson County","","","","","https://revealresourcecenter.com/","1150 S. Bell Blvd. Cedar Park, TX 78613","","","TX","78613","Williamson","","","https://revealresourcecenter.com/","","","2026-09-02","Existencia o ubicación cotejada el 2026-09-02 con el directorio oficial Find Food Now del Central Texas Food Bank; revise horarios directamente antes de publicar."
"Brighter Days Food Pantry at Leander Church of Christ (Drive thru)","Brighter Days Food Pantry at Leander Church of Christ (Drive thru)","Brighter Days Food Pantry at Leander Church of Christ (Drive thru)","Despensa de alimentos y apoyo comunitario para residentes de Condado de Williamson.","Food pantry and community support for residents of Williamson County.","Ofrece acceso a alimentos. Comuníquese directamente con la organización para confirmar disponibilidad, requisitos y otros apoyos.","Serving the following zip codes: 78641, 78613, 78642, 78645, 78646
Personal care items and baby diapers for residents. Limited $100 towards a utility bill or $200 towards rent for those who qualify.","brighter-days-food-pantry-at-leander-church-of-christ-drive-thru-leander","comida","","alimentos, despensa, comida, apoyo comunitario","food, food pantry, groceries, community support","","in_person","unknown","","","","","Comuníquese con la organización para confirmar disponibilidad y requisitos antes de acudir.","Contact the organization to confirm availability and requirements before visiting.","miércoless: 5:30pm-7pm","Wednesdays: 5:30pm-7pm","","","Condado de Williamson","Williamson County","(512) 259-6928","","","brighterdaysfp@gmail.com","https://leanderchurch.org/help","300 Crystal Falls Parkway, Leander, TX 78641","","Leander","TX","78641","Williamson","","","https://leanderchurch.org/help","","","2026-09-02","Existencia o ubicación cotejada el 2026-09-02 con el directorio oficial Find Food Now del Central Texas Food Bank; revise horarios directamente antes de publicar."
"Shepherd's Heart Food Pantry and Community Ministries","Shepherd's Heart Food Pantry and Community Ministries","Shepherd's Heart Food Pantry and Community Ministries","Despensa de alimentos y apoyo comunitario para residentes de Condado de Williamson.","Food pantry and community support for residents of Williamson County.","Ofrece acceso a alimentos. Comuníquese directamente con la organización para confirmar disponibilidad, requisitos y otros apoyos.","Provides access to food. Contact the organization directly to confirm availability, requirements, and additional support.","shepherd-s-heart-food-pantry-and-community-ministries-williamson","comida","","alimentos, despensa, comida, apoyo comunitario","food, food pantry, groceries, community support","","in_person","unknown","","","","","Comuníquese con la organización para confirmar disponibilidad y requisitos antes de acudir.","Contact the organization to confirm availability and requirements before visiting.","martes: 12:30pm-3pm
jueves: 12:30pm-3pm
sábado: 8:30am-10:30am","Tuesday: 12:30pm-3pm
Thursday: 12:30pm-3pm
Saturday: 8:30am-10:30am","","","Condado de Williamson","Williamson County","(512) 352-5553","","","","https://www.shepherdshearttaylor.org/","121 E. 2nd St. Taylor, TX 76574","","","TX","76574","Williamson","","","https://www.shepherdshearttaylor.org/","","","2026-09-02","Existencia o ubicación cotejada el 2026-09-02 con el directorio oficial Find Food Now del Central Texas Food Bank; revise horarios directamente antes de publicar."
