"organization_name","title_es","title_en","summary_es","summary_en","description_es","description_en","slug","primary_category","additional_categories","keywords_es","keywords_en","languages","service_methods","cost_type","eligibility_es","eligibility_en","required_documents_es","required_documents_en","application_steps_es","application_steps_en","hours_es","hours_en","accessibility_notes_es","accessibility_notes_en","service_area_es","service_area_en","phone","sms_phone","whatsapp_phone","email","website_url","address_line_1","address_line_2","city","state","postal_code","county","latitude","longitude","source_url","is_featured","is_emergency","last_verified_at","verification_notes"
"Connect ATX","Navegación de recursos comunitarios","Community resource navigation","Utilice ConnectATX para encontrar información actualizada sobre alimentación, vivienda, transporte, cuidado infantil, clases para padres, capacitación laboral, vacuna COVID-19 y más.","Use ConnectATX to find up-to-date information on food, housing, transportation, child care, parenting classes, job training, COVID-19 vaccine, and more","Utilice ConnectATX para encontrar información actualizada sobre alimentación, vivienda, transporte, cuidado infantil, clases para padres, capacitación laboral, vacuna COVID-19 y más.","Use ConnectATX to find up-to-date information on food, housing, transportation, child care, parenting classes, job training, COVID-19 vaccine, and more","connect-atx-community-resource-navigation","otros-recursos","","Navegación de recursos comunitarios|Connect ATX","Community resource navigation|Connect ATX","en","phone|online","unknown","","","","","Comunícate con la organización para confirmar disponibilidad, requisitos y cómo solicitar el servicio.","Contact the organization to confirm availability, requirements, and how to request the service.","","","","","Austin y comunidades cercanas del Centro de Texas","Austin and surrounding Central Texas communities","833-512-2289","","","","https://www.unitedwayaustin.org/connectatx","","","","TX","","","","","https://www.unitedwayaustin.org/connectatx","false","false","","Convertido de “Resource List CMM Updated.docx” el 2026-08-10. Revisar los datos y la fuente oficial antes de publicar."
"El Buen Samaritano","Servicios de apoyo comunitario","Community support services","Proporciona muchos servicios.","Provides many services","Proporciona muchos servicios.","Provides many services","el-buen-samaritano-community-support-services","otros-recursos","","Servicios de apoyo comunitario|El Buen Samaritano","Community support services|El Buen Samaritano","en","in_person|phone|online","unknown","","","","","Comunícate con la organización para confirmar disponibilidad, requisitos y cómo solicitar el servicio.","Contact the organization to confirm availability, requirements, and how to request the service.","","","","","Austin, Condado de Travis","Austin, Travis County","512-439-8900","","","","https://elbuen.org/","7000 Woodhue Drive","","Austin","TX","78745","Travis","","","https://elbuen.org/","false","false","","Convertido de “Resource List CMM Updated.docx” el 2026-08-10. Revisar los datos y la fuente oficial antes de publicar."
"Sunrise Homeless Navigation Center","Orientación para personas sin hogar y apoyo para necesidades básicas","Homeless navigation and basic-needs support","centro de día HUB, asistencia alimentaria, pases de autobús, identificación de ServicePoint, correo, duchas (de 9 a. m. a 12 p. m.), higiene, armario de ropa, lavandería, laboratorio de computación/Wi-Fi, comida para mascotas, depósito de vivienda/desvíos de viaje, ayuda con identificación…","HUB day center, Food assistance, Bus Passes, ServicePoint ID, Mail, Showers (9a-12p), Hygiene, Clothing closet, Laundry, Computer lab/Wi-Fi, Pet food, Housing deposit/travel diversions, ID help, Coordinated Assessment (housing), Food Stamp signup; Integral Care, Medical Clinic (M/Th), MAP signup…","centro de día HUB, asistencia alimentaria, pases de autobús, identificación de ServicePoint, correo, duchas (de 9 a. m. a 12 p. m.), higiene, armario de ropa, lavandería, laboratorio de computación/Wi-Fi, comida para mascotas, depósito de vivienda/desvíos de viaje, ayuda con identificación, evaluación coordinada (vivienda), registro de cupones para alimentos; Atención Integral, Clínica Médica (lunes/jueves), inscripción MAP (martes/jueves), pruebas de VIH/ETS, reducción de daños, apoyo a la sobriedad.","HUB day center, Food assistance, Bus Passes, ServicePoint ID, Mail, Showers (9a-12p), Hygiene, Clothing closet, Laundry, Computer lab/Wi-Fi, Pet food, Housing deposit/travel diversions, ID help, Coordinated Assessment (housing), Food Stamp signup; Integral Care, Medical Clinic (M/Th), MAP signup (T/Th), HIV/STD tests, Harm reduction, Sobriety support.","sunrise-homeless-navigation-center-homeless-navigation-and-basic-needs-support","vivienda","comida|otros-recursos","Orientación para personas sin hogar y apoyo para necesidades básicas|Sunrise Homeless Navigation Center","Homeless navigation and basic-needs support|Sunrise Homeless Navigation Center","en","in_person|phone|online","unknown","","","","","Comunícate con la organización para confirmar disponibilidad, requisitos y cómo solicitar el servicio.","Contact the organization to confirm availability, requirements, and how to request the service.","Lun.- Vie. de 9:00 a 13:00 horas. La línea comienza a las 8:00 am y los servicios comienzan a las 9:00 am.","Mon.- Fri. from 9:00 am-1:00 pm. The line starts at 8:00 am and the services start at 9:00am.","","","Austin, Condado de Travis","Austin, Travis County","737-256-6926","","","","https://sunrisenavigationcenter.org/sunrise-wayfinder","4430 Menchaca Rd","","Austin","TX","78745","Travis","","","https://sunrisenavigationcenter.org/sunrise-wayfinder","false","false","","Convertido de “Resource List CMM Updated.docx” el 2026-08-10. Revisar los datos y la fuente oficial antes de publicar."
"Trinity Center at St. David's Episcopal Church","Servicios de orientación y necesidades básicas","Navigation and basic-needs services","Ven en persona/sin citas.","Come in person/no appointments.","Ven en persona/sin citas.","Come in person/no appointments.","trinity-center-at-st-david-s-episcopal-church-navigation-and-basic-needs-services","otros-recursos","comida|vivienda","Servicios de orientación y necesidades básicas|Trinity Center at St. David's Episcopal Church","Navigation and basic-needs services|Trinity Center at St. David's Episcopal Church","en","online","unknown","","","","","Comunícate con la organización para confirmar disponibilidad, requisitos y cómo solicitar el servicio.","Contact the organization to confirm availability, requirements, and how to request the service.","Centro de navegación/servicio, comidas, gestión de casos; documentos de identificación; Ayuda con recetas; Registro de SNAP/Cupones para Alimentos; Evaluación Coordinada (CA) - vivienda; Narcan, artículos de tocador, pases de autobús, asistencia de viaje limitada, ropa/duchas (lunes para mujeres, jueves para hombres); correo diario, teléfono, acceso a computadora, referencias de recursos. Lun. al viernes. 9 am -1 pm Domingo 3-4:30 pm","Navigation/service center, meals, case management; ID docs; Prescription Help; SNAP/Food Stamp Signup; Coordinated Assessment (CA) - housing; Narcan, toiletries, bus passes, limited travel assistance, clothes/showers (Mon. for women, Thu. for men); daily mail, phone, computer access, resource referrals. Mon. to Fri. 9 am -1 pm Sun 3-4:30 pm","","","Austin y comunidades cercanas del Centro de Texas","Austin and surrounding Central Texas communities","","","","","https://www.trinitycenteraustin.org/","","","","TX","","","","","https://www.trinitycenteraustin.org/","false","false","","Convertido de “Resource List CMM Updated.docx” el 2026-08-10. Revisar los datos y la fuente oficial antes de publicar."
"Austin Voices for Education and Youth (AVEY)","Apoyo del Centro de Recursos Familiares","Family Resource Center support","Este Centro de Recursos Familiares apoya a las familias con un niño matriculado en la Escuela Intermedia Burnet y la Escuela Primaria Cook que se encuentran en transición o crisis brindando administración de casos, apoyo, información y referencias a recursos comunitarios y escolares para padres.…","This Family Resource Center supports families with a child enrolled at Burnet Middle School and Cook Elementary School who are in transition or crisis by providing case management, support, information, and referrals to community and school resources for parents. During COVID-19, offices are closed…","Este Centro de Recursos Familiares apoya a las familias con un niño matriculado en la Escuela Intermedia Burnet y la Escuela Primaria Cook que se encuentran en transición o crisis brindando administración de casos, apoyo, información y referencias a recursos comunitarios y escolares para padres. Durante el COVID-19, las oficinas están cerradas, pero el personal trabaja de forma remota con los clientes. Los trabajadores sociales ayudan a promover la estabilidad familiar con servicios directos y/o referencias a: Necesidades básicas, incluyendo alimentos y ropa Acceso a servicios de salud y salud mental Asistencia para vivienda y alquiler Empleo Apoyo familiar Legal/Inmigración Educación para adultos como ESL, ABE, GED, computadoras, nutrición y clases para padres Asistencia para solicitar asistencia de servicios públicos, Austin Energy Plus 1 Asistencia para solicitar beneficios estatales como Medicaid, CH, IP y SNAP","This Family Resource Center supports families with a child enrolled at Burnet Middle School and Cook Elementary School who are in transition or crisis by providing case management, support, information, and referrals to community and school resources for parents. During COVID-19, offices are closed, but staff are working remotely with clients. Social workers help promote family stability with direct services and/or referrals to: Basic needs, including food and clothing Access to health and mental health services Housing and rental assistance Employment Family support Legal/Immigration Adult education such as ESL, ABE, GED, computers, nutrition, and parenting classes Assistance applying for utility assistanc,e Austin Energy Plus 1 Assistance applying for state benefits such as Medicaid, CH,IP and SNAP","austin-voices-for-education-and-youth-avey-family-resource-center-support","otros-recursos","educacion","Apoyo del Centro de Recursos Familiares|Austin Voices for Education and Youth (AVEY)","Family Resource Center support|Austin Voices for Education and Youth (AVEY)","en","online","unknown","","","","","Comunícate con la organización para confirmar disponibilidad, requisitos y cómo solicitar el servicio.","Contact the organization to confirm availability, requirements, and how to request the service.","","","","","Austin y comunidades cercanas del Centro de Texas","Austin and surrounding Central Texas communities","","","","","https://austinvoices.org/","","","","TX","","","","","https://austinvoices.org/","false","false","","Convertido de “Resource List CMM Updated.docx” el 2026-08-10. Revisar los datos y la fuente oficial antes de publicar."
"Lone Star Circle of Care","Servicios comunitarios de salud","Community health services","Servicios de salud varios, sin seguro médico.","Various health services, without health insurance","Servicios de salud varios, sin seguro médico.","Various health services, without health insurance","lone-star-circle-of-care-community-health-services","salud","","Servicios comunitarios de salud|Lone Star Circle of Care","Community health services|Lone Star Circle of Care","en","phone|online","unknown","","","","","Comunícate con la organización para confirmar disponibilidad, requisitos y cómo solicitar el servicio.","Contact the organization to confirm availability, requirements, and how to request the service.","","","","","Austin y comunidades cercanas del Centro de Texas","Austin and surrounding Central Texas communities","877-800-5722","","","yehernandez@lscctx.org","https://lonestarcares.org/","","","","TX","","","","","https://lonestarcares.org/","false","false","","Convertido de “Resource List CMM Updated.docx” el 2026-08-10. Revisar los datos y la fuente oficial antes de publicar."
"CommUnityCare","Servicios de salud primaria y especializada","Primary and specialty health services","La mayoría de nuestras ubicaciones brindan servicios de atención primaria, excepto unos pocos selectos que también incluyen especialidades y otros específicos de la salud de la mujer, administración de atención compleja y odontología. Ubicaciones alrededor de Austin, Travis y Bastrop","Most of our locations provide primary care services except for a select few that also include specialty and others specific to women’s health, complex care management, and dental. Locations around Austin, Travis & Bastrop","La mayoría de nuestras ubicaciones brindan servicios de atención primaria, excepto unos pocos selectos que también incluyen especialidades y otros específicos de la salud de la mujer, administración de atención compleja y odontología. Ubicaciones alrededor de Austin, Travis y Bastrop","Most of our locations provide primary care services except for a select few that also include specialty and others specific to women’s health, complex care management, and dental. Locations around Austin, Travis & Bastrop","communitycare-primary-and-specialty-health-services","salud","","Servicios de salud primaria y especializada|CommUnityCare","Primary and specialty health services|CommUnityCare","en","phone|online","unknown","","","","","Comunícate con la organización para confirmar disponibilidad, requisitos y cómo solicitar el servicio.","Contact the organization to confirm availability, requirements, and how to request the service.","","","","","Austin y comunidades cercanas del Centro de Texas","Austin and surrounding Central Texas communities","512-978-9015","","","","https://communitycaretx.org/services","","","","TX","","","","","https://communitycaretx.org/services","false","false","","Convertido de “Resource List CMM Updated.docx” el 2026-08-10. Revisar los datos y la fuente oficial antes de publicar."
"People's Community Clinic","Centro de Salud para Mujeres","Women’s Health Center","Varios servicios, no se necesita seguro médico.","Various services, no health insurance needed","Varios servicios, no se necesita seguro médico.","Various services, no health insurance needed","people-s-community-clinic-women-s-health-center","salud","","Centro de Salud para Mujeres|People's Community Clinic","Women’s Health Center|People's Community Clinic","en","in_person|phone|online","unknown","","","","","Comunícate con la organización para confirmar disponibilidad, requisitos y cómo solicitar el servicio.","Contact the organization to confirm availability, requirements, and how to request the service.","","","","","Austin, Condado de Travis","Austin, Travis County","512-478-4939","","","","https://www.austinpcc.org/","2909 North IH35","","Austin","TX","78722","Travis","","","https://www.austinpcc.org/","false","false","","Convertido de “Resource List CMM Updated.docx” el 2026-08-10. Revisar los datos y la fuente oficial antes de publicar."
"People's Community Clinic","Clínica comunitaria de salud","Community health clinic","Varios servicios, no se necesita seguro médico.","Various services, no health insurance needed","Varios servicios, no se necesita seguro médico.","Various services, no health insurance needed","people-s-community-clinic-community-health-clinic","salud","","Clínica comunitaria de salud|People's Community Clinic","Community health clinic|People's Community Clinic","en","in_person|phone|online","unknown","","","","","Comunícate con la organización para confirmar disponibilidad, requisitos y cómo solicitar el servicio.","Contact the organization to confirm availability, requirements, and how to request the service.","","","","","Austin, Condado de Travis","Austin, Travis County","512-478-4939","","","","https://www.austinpcc.org/","1101 Camino La Costa","","Austin","TX","78752","Travis","","","https://www.austinpcc.org/","false","false","","Convertido de “Resource List CMM Updated.docx” el 2026-08-10. Revisar los datos y la fuente oficial antes de publicar."
"Austin Public Health","Clínica de vacunación Far South","Far South Immunization Clinic","Vacunas gratuitas o de bajo costo.","Free or low-cost vaccinations","Vacunas gratuitas o de bajo costo.","Free or low-cost vaccinations","austin-public-health-far-south-immunization-clinic","salud","","Clínica de vacunación Far South|Austin Public Health","Far South Immunization Clinic|Austin Public Health","en","in_person|phone|online","free","","","","","Comunícate con la organización para confirmar disponibilidad, requisitos y cómo solicitar el servicio.","Contact the organization to confirm availability, requirements, and how to request the service.","","","","","Austin, Condado de Travis","Austin, Travis County","512-972-5520","","","","https://www.austintexas.gov/services/get-free-or-low-cost-vaccines","405 W. Stassney Lane","","Austin","TX","78745","Travis","","","https://www.austintexas.gov/services/get-free-or-low-cost-vaccines","false","false","","Convertido de “Resource List CMM Updated.docx” el 2026-08-10. Revisar los datos y la fuente oficial antes de publicar."
