organization_name,title_es,title_en,summary_es,summary_en,description_es,description_en,slug,primary_category,additional_categories,keywords_es,keywords_en,languages,service_methods,cost_type,eligibility_es,eligibility_en,required_documents_es,required_documents_en,application_steps_es,application_steps_en,hours_es,hours_en,accessibility_notes_es,accessibility_notes_en,service_area_es,service_area_en,phone,sms_phone,whatsapp_phone,email,website_url,address_line_1,address_line_2,city,state,postal_code,county,latitude,longitude,source_url,is_featured,is_emergency,last_verified_at,verification_notes
"U.S. Department of Veterans Affairs (VA Central Texas Healthcare System)","Clínica VA de Austin","Austin VA Clinic","Atención médica para veteranos en Travis County, incluyendo cuidado primario y salud mental.","Medical care for veterans in Travis County, including primary care and mental health services.","Clínica de VA Central Texas Healthcare System que ofrece atención médica primaria, salud mental, servicios sociales y apoyo para veteranos sin vivienda o en riesgo de perderla.","A VA Central Texas Healthcare System clinic offering primary care, mental health services, social services, and support for veterans experiencing or at risk of homelessness.","","salud","","","","en","in_person|online","unknown","","","","","","","Lun–Vie 8:00 a.m.–4:30 p.m. (cerrado sáb-dom); horario varía por servicio","","","","Condado de Travis","Travis County","512-823-4000","","","","https://va.gov/central-texas-health-care/locations/austin-va-clinic/","7901 Metropolis Dr.","","Austin","TX","78744","Travis","","","https://va.gov/central-texas-health-care/locations/austin-va-clinic/","false","false","","Otros teléfonos indicados en la fuente: 512-823-4000 (local); 1-800-423-2111 (gratuito)"
"Travis County","Servicios para Veteranos del Condado de Travis","Travis County Veterans Services","Ayuda gratuita a veteranos con beneficios de VA y disability claims.","Free help for veterans with VA benefits and disability claims.","Ayuda gratuita con beneficios de VA, disability claims, apelaciones y referencias para vivienda, salud, educación y asistencia financiera. Atiende con cita previa.","Free assistance with VA benefits, disability claims, appeals, and referrals for housing, health, education, and financial assistance. Appointment required.","","recursos-financieros","","","","en","in_person|online","free","","","","","","","Lun–Jue 9:00 a.m.–4:00 p.m. (cerrado vie-dom); cita obligatoria","","","","Condado de Travis","Travis County","512-854-9340","","","","https://traviscountytx.gov/veterans-services","5325 Airport Blvd #1100","","Austin","TX","78751","Travis","","","https://traviscountytx.gov/veterans-services","false","false","",""
"U.S. Department of Veterans Affairs (VA Central Texas)","Atención para Veteranos sin Hogar de VA Central Texas","VA Central Texas Homeless Veteran Care","Apoyo para veteranos sin vivienda o en riesgo de perderla.","Support for veterans who are homeless or at risk of homelessness.","Apoyo para veteranos sin vivienda o en riesgo de perderla, incluyendo alojamiento, vivienda permanente, empleo, apoyo económico, atención médica y manejo de casos. Disponible a través de Austin VA Clinic / VA Central Texas.","Support for veterans who are homeless or at risk of homelessness, including shelter, permanent housing, employment, financial support, health care, and case management. Available through the Austin VA Clinic / VA Central Texas.","","vivienda","","","","en","in_person|phone|online","unknown","","","","","","","Línea nacional disponible 24/7 (teléfono y chat en línea)","","","","Condado de Travis","Travis County","877-424-3838","","","","https://va.gov/central-texas-health-care/health-services/homeless-veteran-care/","7901 Metropolis Dr.","","Austin","TX","78744","Travis","","","https://va.gov/central-texas-health-care/health-services/homeless-veteran-care/","false","false","","Otros teléfonos indicados en la fuente: 1-877-424-3838 (línea nacional 24/7); 512-823-4000 (clínica principal)"
"U.S. Department of Veterans Affairs (VHA)","Programa de Alcance de Justicia para Veteranos – Central Texas","VA Veterans Justice Outreach – Central Texas","Recurso regional para veteranos involucrados con el sistema de justicia.","Regional resource for veterans involved with the justice system.","Programa confirmado por VA que conecta a veteranos involucrados con el sistema de justicia con servicios y recursos de apoyo. Sirve Austin, Georgetown y San Marcos, entre otras áreas de Central Texas.","A VA-confirmed program that connects justice-involved veterans with support services and resources. Serves Austin, Georgetown, and San Marcos, among other Central Texas areas.","","ayuda-legal","","","","en","online","unknown","","","","","","","","","","","Condado de Travis, Condado de Williamson, Condado de Hays","Travis County, Williamson County, Hays County","800-423-2111","","","CTXSWSVJO@va.gov","https://department.va.gov/homeless/veterans-justice-programs/veterans-justice-outreach/vjo-contacts/","","","","","","","","","https://department.va.gov/homeless/veterans-justice-programs/veterans-justice-outreach/vjo-contacts/","false","false","","VA solo publica correo institucional del equipo, no teléfono directo — se reporta así en vez de inventar un número | Otros teléfonos indicados en la fuente: No hay línea directa pública; usar 1-800-423-2111 y solicitar especialista de VJO"
"Williamson County","Servicios para Veteranos del Condado de Williamson","Williamson County Veteran Services","Ayuda con beneficios de veteranos y posible asistencia financiera para residentes del condado.","Help with veterans benefits and possible financial assistance for county residents.","Ofrece ayuda con beneficios para veteranos. Cuenta con un fondo de emergencia (subvención TVC, ~$210,000 en el año fiscal 2024) que cubre hasta $1,000 para renta/hipoteca/servicios públicos y hasta $1,000 para gastos de entierro; requiere baja honorable o baja bajo condiciones honorables.","Offers help with veterans benefits. Maintains an emergency fund (TVC grant, ~$210,000 in FY2024) covering up to $1,000 for rent/mortgage/utilities and up to $1,000 for burial expenses; requires an honorable or general-under-honorable-conditions discharge.","","recursos-financieros","","","","en","in_person","unknown","","","","","","","Lun–Vie 8:00 a.m.–5:00 p.m.; solo con cita previa desde 2019","","","","Condado de Williamson","Williamson County","512-943-1900","","","","https://wilcotx.gov/785/Veteran-Services","100 Wilco Way, Suite V101","","Georgetown","TX","78626","Williamson","","","https://wilcotx.gov/785/Veteran-Services","false","false","","wilcotx.gov devolvió error 429 durante la verificación directa; datos confirmados vía TexVet.org y artículo de noticias — recomendable verificación telefónica final"
"U.S. Department of Veterans Affairs (VA Central Texas)","Clínica VA de Cedar Park","Cedar Park VA Clinic","Clínica ambulatoria de VA con atención médica primaria y salud mental.","VA outpatient clinic offering primary care and mental health services.","Clínica ambulatoria para veteranos de Williamson County y áreas cercanas. Ofrece primary care, salud mental, laboratorio, salud de la mujer y otros servicios, coordinados a través de VA Central Texas.","Outpatient clinic for veterans in Williamson County and nearby areas. Offers primary care, mental health, lab services, women's health, and more, coordinated through VA Central Texas.","","salud","","","","en","in_person","unknown","","","","","","","Lun–Vie 8:00 a.m.–4:30 p.m.","","","","Condado de Williamson","Williamson County","800-423-2111","","","","https://va.gov/central-texas-health-care/locations/cedar-park-va-clinic/","1401 Medical Parkway, Suite 400, Building C","","Cedar Park","TX","78613","Williamson","","","https://va.gov/central-texas-health-care/locations/cedar-park-va-clinic/","false","false","","Otros teléfonos indicados en la fuente: 1-800-423-2111"
"Hays County","Servicios para Veteranos del Condado de Hays","Hays County Veterans Services","Ayuda a veteranos y dependientes a identificar y solicitar beneficios.","Helps veterans and dependents identify and apply for benefits.","Ayuda a veteranos y dependientes a identificar beneficios federales, estatales y locales y completar solicitudes. Incluye apoyo especializado para casos complejos a través del programa asociado Hope for Hays County Veterans (Case Manager: Lydia Stanton-Chapman), coordinado dentro de la misma oficina.","Helps veterans and dependents identify federal, state, and local benefits and complete applications. Includes specialized support for complex cases through the associated Hope for Hays County Veterans program (Case Manager: Lydia Stanton-Chapman), coordinated within the same office.","","recursos-financieros","","","","en","in_person|phone|online","unknown","","","","","","","Lun–Vie 8am–5pm; cita recomendada (no obligatoria)","","","","Condado de Hays","Hays County","512-392-8387","","","veteranservices@hayscountytx.gov","https://hayscountytx.gov/veterans-services","Historic Hays County Courthouse, 111 E. San Antonio St., Ste. 200","","San Marcos","TX","78666","Hays","","","https://hayscountytx.gov/veterans-services","false","false","","Corrige el teléfono anterior (no confirmado) por el número oficial verificado"
"Catholic Charities of Central Texas","Caridades Católicas de Central Texas – Servicios para Veteranos St. Michael's","Catholic Charities of Central Texas – St. Michael's Veteran Services","Manejo de casos y asistencia financiera de emergencia para veteranos.","Case management and emergency financial assistance for veterans.","Ofrece case management, asistencia financiera de emergencia, intervención en crisis, educación financiera y referencias para veteranos. Su área oficial cubre 25 condados de Texas, incluyendo Travis, Williamson, Hays, Bastrop y Caldwell.","Offers case management, emergency financial assistance, crisis intervention, financial education, and referrals for veterans. Officially covers 25 Texas counties, including Travis, Williamson, Hays, Bastrop, and Caldwell.","","recursos-financieros","otros-recursos","","","es|en","in_person|phone|online","unknown","","","","","","","Lun–Vie 8:30am–12pm y 1pm–5pm; cita previa requerida; sesión informativa sin cita el 1er martes 1–2:30pm (oficina Killeen)","","","","Condado de Travis, Condado de Williamson, Condado de Bastrop, Condado de Hays, Condado de Caldwell","Travis County, Williamson County, Bastrop County, Hays County, Caldwell County","512-651-6100","","","","https://ccctx.org/st-michaels-veteran-services/","1625 Rutherford Lane","","Austin","TX","78754","","","","https://ccctx.org/st-michaels-veteran-services/","false","false","",""
"Bastrop County","Oficina de Servicios para Veteranos del Condado de Bastrop","Bastrop County Veterans Service Office","Asesoría gratuita para solicitar beneficios de veteranos, con ubicaciones en Bastrop, Elgin y Smithville.","Free counseling to apply for veterans benefits, with locations in Bastrop, Elgin, and Smithville.","Asesoría gratuita y ayuda para solicitar beneficios federales, estatales y locales para veteranos, familiares y sobrevivientes elegibles. Funciona con cita previa en tres ubicaciones: oficina principal en Bastrop, Elgin Annex y Smithville City Hall.","Free counseling and help applying for federal, state, and local benefits for eligible veterans, family members, and survivors. Operates by appointment at three locations: the main Bastrop office, the Elgin Annex, and Smithville City Hall.","","recursos-financieros","","","","en","in_person","free","","","","","","","Bastrop: lun–jue 8:00 a.m.–5:00 p.m. (cita); Elgin: jueves 1:30–3:00 p.m. (cita); Smithville: miércoles 1:30–3:00 p.m. (cita)","","","","Condado de Bastrop","Bastrop County","512-581-4006","","","veterans.service@co.bastrop.tx.us","https://bastropcounty.gov/page/co.veteran_services","104 Loop 150 W","","Bastrop","TX","78602","Bastrop","","","https://bastropcounty.gov/page/co.veteran_services","false","false","",""
"Heroes Night Out","Heroes Night Out / Centro de Recursos Heroes","Heroes Night Out / Heroes Resource Center","Apoyo entre pares y conexión con recursos para veteranos y sus familias.","Peer support and resource connection for veterans and their families.","Ofrece apoyo entre pares, actividades comunitarias, ayuda con empleo, conexiones con recursos y apoyo para veteranos, miembros del servicio y sus familias. Cobertura confirmada: Travis, Williamson, Hays, Bastrop y Caldwell, entre otros condados.","Offers peer support, community activities, employment help, resource connections, and support for veterans, service members, and their families. Confirmed coverage: Travis, Williamson, Hays, Bastrop, and Caldwell counties, among others.","","otros-recursos","","","","en","in_person","unknown","","","","","","","Lunes–viernes, 9:00 a.m.–4:00 p.m.","","","","Condado de Travis, Condado de Williamson, Condado de Bastrop, Condado de Hays, Condado de Caldwell","Travis County, Williamson County, Bastrop County, Hays County, Caldwell County","512-986-7660","","","","https://heroesresourcecenter.org","1150 S. Bell Blvd., Building 5","","Cedar Park","TX","78613","","","","https://heroesresourcecenter.org","false","false","",""
