organization_name,title_es,title_en,summary_es,summary_en,description_es,description_en,slug,primary_category,additional_categories,keywords_es,keywords_en,languages,service_methods,cost_type,eligibility_es,eligibility_en,required_documents_es,required_documents_en,application_steps_es,application_steps_en,hours_es,hours_en,accessibility_notes_es,accessibility_notes_en,service_area_es,service_area_en,phone,sms_phone,whatsapp_phone,email,website_url,address_line_1,address_line_2,city,state,postal_code,county,latitude,longitude,source_url,is_featured,is_emergency,last_verified_at,verification_notes
Williamson County Community Resource Center,Orientación para encontrar ayuda,Community resource navigation,"Orientación para conectar a residentes del condado con alimentos, vivienda, salud, transporte y otros apoyos disponibles.","Navigation that connects county residents with food, housing, health, transportation and other available support.",,,williamson-county-community-resource-navigation,otros-recursos,comida|vivienda|salud|transporte|recursos-financieros|educacion|ayuda-legal,orientación|referidos|servicios sociales,navigation|referrals|social services,es|en,in_person|phone|online,free,,,,,Llama o visita el sitio web para confirmar disponibilidad y requisitos actuales.,Call or visit the website to confirm current availability and requirements.,"Lunes a viernes, 8 a.m. a 4:30 p.m.","Monday–Friday, 8 a.m.–4:30 p.m.",,,Condado de Williamson,Williamson County,512-548-5091,,,williamson@crctx.org,https://www.crctx.org/,155 Hillcrest Lane,,Liberty Hill,TX,78642,Williamson,30.670986867323,-97.930633084285,https://www.wilcotx.gov/962/Community-Resources,false,false,2026-08-07,Información revisada con la guía de Williamson County y la fuente oficial el 2026-08-07. Confirmar disponibilidad antes de publicar.
Central Texas Food Bank,Ayuda para solicitar beneficios públicos,Public benefits application assistance,"Especialistas ayudan con solicitudes o renovaciones de SNAP, Medicaid, CHIP, Healthy Texas Women y TANF.","Benefits specialists help with applications or renewals for SNAP, Medicaid, CHIP, Healthy Texas Women and TANF.",,,central-texas-food-bank-benefits-williamson,recursos-financieros,comida|salud,SNAP|Medicaid|CHIP|TANF|beneficios,SNAP|Medicaid|CHIP|TANF|benefits,es|en,in_person|phone,free,Personas que necesitan solicitar o renovar beneficios públicos.,People who need to apply for or renew public benefits.,"Puede solicitarse identificación, comprobantes de ingresos, gastos, cuentas bancarias y domicilio.","Photo ID and proof of income, expenses, bank accounts and address may be requested.",Llama o visita el sitio web para confirmar disponibilidad y requisitos actuales.,Call or visit the website to confirm current availability and requirements.,,,,,Condado de Williamson,Williamson County,512-684-2536,,,,https://www.centraltexasfoodbank.org/get-help/help-paying-for-groceries,,,,TX,,Williamson,,,https://www.centraltexasfoodbank.org/get-help/help-paying-for-groceries,false,false,2026-08-07,Información revisada con la guía de Williamson County y la fuente oficial el 2026-08-07. Confirmar disponibilidad antes de publicar.
Opportunities for Williamson & Burnet Counties,Asistencia de energía y autosuficiencia,Energy assistance and self-sufficiency support,Apoyo con costos de energía y orientación de autosuficiencia para hogares que cumplen los requisitos del programa.,Energy-cost assistance and self-sufficiency case management for households that meet program requirements.,,,owbc-energy-assistance,recursos-financieros,vivienda,luz|energía|servicios públicos|CEAP,electricity|energy|utilities|CEAP,es|en,in_person|phone|online,free,,,,,Llama o visita el sitio web para confirmar disponibilidad y requisitos actuales.,Call or visit the website to confirm current availability and requirements.,,,,,Condado de Williamson,Williamson County,512-255-2202,,,,https://www.owbc-tx.org/community-services/,604 High Tech Drive,,Georgetown,TX,78626,Williamson,30.619334151063,-97.670418401313,https://www.owbc-tx.org/community-services/,false,false,2026-08-07,Información revisada con la guía de Williamson County y la fuente oficial el 2026-08-07. Confirmar disponibilidad antes de publicar.
Opportunities for Williamson & Burnet Counties,Meals on Wheels para adultos mayores,Meals on Wheels for older adults,Entrega de comidas y comidas comunitarias para adultos mayores que no pueden salir de casa y personas elegibles.,Home-delivered and congregate meals for eligible older adults who are unable to leave home.,,,owbc-meals-on-wheels-williamson,comida,otros-recursos,comidas a domicilio|adultos mayores|personas mayores,home delivered meals|older adults|seniors,es|en,home_visit|phone,free,Principalmente adultos mayores elegibles que no pueden salir de casa; confirma los criterios actuales.,Primarily eligible older adults unable to leave home; confirm current criteria.,,,Llama o visita el sitio web para confirmar disponibilidad y requisitos actuales.,Call or visit the website to confirm current availability and requirements.,,,,,Condado de Williamson,Williamson County,512-763-1400,,,,https://www.owbc-tx.org/meals-on-wheels/,,,,TX,,Williamson,,,https://www.owbc-tx.org/meals-on-wheels/,false,false,2026-08-07,Información revisada con la guía de Williamson County y la fuente oficial el 2026-08-07. Confirmar disponibilidad antes de publicar.
Opportunities for Williamson & Burnet Counties,Programa Head Start,Head Start program,"Educación temprana y apoyo familiar para bebés, niñas y niños pequeños en centros del condado de Williamson.",Early childhood education and family support for infants and young children at Williamson County centers.,,,owbc-head-start-williamson,educacion,otros-recursos,Head Start|educación temprana|niños|familias,Head Start|early education|children|families,es|en,in_person|phone|online,free,Familias con niñas o niños pequeños que cumplen los requisitos del programa.,Families with young children who meet program requirements.,,,Llama o visita el sitio web para confirmar disponibilidad y requisitos actuales.,Call or visit the website to confirm current availability and requirements.,,,,,Condado de Williamson,Williamson County,512-763-1400,,,,https://www.owbc-tx.org/head-start/,,,,TX,,Williamson,,,https://www.owbc-tx.org/head-start/,false,false,2026-08-07,Información revisada con la guía de Williamson County y la fuente oficial el 2026-08-07. Confirmar disponibilidad antes de publicar.
Hope Alliance,Apoyo para sobrevivientes de violencia y abuso sexual,Support for survivors of violence and sexual assault,"Línea de crisis, refugio de emergencia, consejería, apoyo de vivienda, acompañamiento médico y defensa legal.","Crisis hotline, emergency shelter, counseling, housing support, medical accompaniment and legal advocacy.",,,hope-alliance-survivor-services,otros-recursos,vivienda|salud|transporte|ayuda-legal,violencia doméstica|abuso sexual|refugio|crisis,domestic violence|sexual assault|shelter|crisis,es|en,in_person|phone,free,,,,,Llama o visita el sitio web para confirmar disponibilidad y requisitos actuales.,Call or visit the website to confirm current availability and requirements.,Línea de crisis disponible 24 horas.,Crisis hotline available 24 hours.,,,Condado de Williamson,Williamson County,800-460-7233,,,,https://www.hopealliancetx.org/,1011 Gattis School Road,Suite 110,Round Rock,TX,78664,Williamson,30.495778591692,-97.667586741392,https://www.hopealliancetx.org/,false,true,2026-08-07,Información revisada con la guía de Williamson County y la fuente oficial el 2026-08-07. Confirmar disponibilidad antes de publicar.
Bluebonnet Trails Community Services,Servicios de salud mental y crisis,Mental health and crisis services,"Evaluación, consejería, psiquiatría, manejo de medicamentos y apoyo de crisis para niñas, niños y adultos.","Assessment, counseling, psychiatry, medication management and crisis support for children and adults.",,,bluebonnet-trails-mental-health-williamson,salud,otros-recursos,salud mental|crisis|consejería|psiquiatría,mental health|crisis|counseling|psychiatry,es|en,in_person|phone|online,sliding_scale,Servicios disponibles en el condado de Williamson; llama para evaluación y opciones de pago.,Services are available in Williamson County; call for assessment and payment options.,,,Llama o visita el sitio web para confirmar disponibilidad y requisitos actuales.,Call or visit the website to confirm current availability and requirements.,Línea de crisis 24/7: 800-841-1255. Citas: lunes a viernes.,24/7 crisis line: 800-841-1255. Appointments: Monday–Friday.,,,Condado de Williamson,Williamson County,844-309-6385,,,,https://bbtrails.org/behavioral-health-services/,,,,TX,,Williamson,,,https://bbtrails.org/behavioral-health-services/,false,true,2026-08-07,Información revisada con la guía de Williamson County y la fuente oficial el 2026-08-07. Confirmar disponibilidad antes de publicar.
Bluebonnet Trails Community Services,Evaluación y referidos para uso de sustancias,Substance use screening and referrals,Evaluación gratuita y referidos a tratamiento para personas que buscan ayuda con alcohol u otras sustancias.,Free screening and treatment referrals for people seeking help with alcohol or other substance use.,,,bluebonnet-trails-osar-williamson,salud,otros-recursos,adicción|alcohol|drogas|tratamiento|OSAR,addiction|alcohol|drugs|treatment|OSAR,es|en,phone|online,free,,,,,Llama o visita el sitio web para confirmar disponibilidad y requisitos actuales.,Call or visit the website to confirm current availability and requirements.,,,,,Condado de Williamson,Williamson County,844-309-6385,,,,https://bbtrails.org/substance-use-services/,,,,TX,,Williamson,,,https://bbtrails.org/substance-use-services/,false,false,2026-08-07,Información revisada con la guía de Williamson County y la fuente oficial el 2026-08-07. Confirmar disponibilidad antes de publicar.
Round Rock Area Serving Center,Despensa y asistencia financiera,Food pantry and financial assistance,"Despensa, ropa y posible ayuda con renta, servicios públicos, recetas, transporte y alojamiento temporal.","Food pantry, clothing and possible assistance with rent, utilities, prescriptions, transportation and temporary lodging.",,,round-rock-area-serving-center-assistance,comida,vivienda|transporte|recursos-financieros|otros-recursos,despensa|renta|luz|ropa|recetas,food pantry|rent|utilities|clothing|prescriptions,es|en,in_person|online,free,,,,,Llama o visita el sitio web para confirmar disponibilidad y requisitos actuales.,Call or visit the website to confirm current availability and requirements.,"Despensa: lunes a viernes, 10 a.m. a 4 p.m.; sábado, 9 a.m. a 1 p.m.","Food pantry: Monday–Friday, 10 a.m.–4 p.m.; Saturday, 9 a.m.–1 p.m.",,,Condado de Williamson,Williamson County,512-244-2431,,,hello@rrasc.org,https://www.rrasc.org/,1099 East Main Street,,Round Rock,TX,78664,Williamson,30.511317710596,-97.668121952471,https://www.rrasc.org/,false,false,2026-08-07,Información revisada con la guía de Williamson County y la fuente oficial el 2026-08-07. Confirmar disponibilidad antes de publicar.
Feed Wilco,Entrega de alimentos a domicilio,Home food delivery,Entrega de alimentos para residentes del condado con necesidad de comida y barreras para asistir a distribuciones.,Food delivery for county residents who need food assistance and face barriers to attending distributions.,,,feed-wilco-home-delivery,comida,otros-recursos,entrega de alimentos|despensa a domicilio|movilidad,food delivery|home pantry|mobility,es|en,home_visit|online,free,Residentes del condado de Williamson con necesidad de alimentos y al menos una barrera elegible.,Williamson County residents needing food assistance who meet at least one qualifying barrier.,,,Llama o visita el sitio web para confirmar disponibilidad y requisitos actuales.,Call or visit the website to confirm current availability and requirements.,,,,,Condado de Williamson,Williamson County,,,,,https://www.feedwilco.org/,,,,TX,,Williamson,,,https://www.feedwilco.org/,false,false,2026-08-07,Información revisada con la guía de Williamson County y la fuente oficial el 2026-08-07. Confirmar disponibilidad antes de publicar.
