organization_name,title_es,title_en,summary_es,summary_en,description_es,description_en,slug,primary_category,additional_categories,keywords_es,keywords_en,languages,service_methods,cost_type,eligibility_es,eligibility_en,required_documents_es,required_documents_en,application_steps_es,application_steps_en,hours_es,hours_en,accessibility_notes_es,accessibility_notes_en,service_area_es,service_area_en,phone,sms_phone,whatsapp_phone,email,website_url,address_line_1,address_line_2,city,state,postal_code,county,latitude,longitude,source_url,is_featured,is_emergency,last_verified_at,verification_notes
Austin Voices for Education and Youth (AVEY),Clínicas de inscripción a seguro médico,Health insurance enrollment clinics,"Ayuda presencial para solicitar o renovar MAP, Medicaid y SNAP en Centros de Recursos Familiares de Austin ISD.","In-person help applying for or renewing MAP, Medicaid, and SNAP at Austin ISD Family Resource Centers.","Ayuda presencial para solicitar o renovar MAP, Medicaid y SNAP en Centros de Recursos Familiares de Austin ISD.","In-person help applying for or renewing MAP, Medicaid, and SNAP at Austin ISD Family Resource Centers.",,salud,recursos-financieros,seguro médico|MAP|Medicaid|SNAP|inscripción,health coverage|MAP|Medicaid|SNAP|enrollment,es|en,in_person|phone,free,Familias que necesitan ayuda para solicitar o renovar beneficios; confirma sede y disponibilidad.,Families needing help applying for or renewing benefits; confirm location and availability.,,,Llama al 512-493-4288 o solicita una cita mediante el formulario oficial.,Call 512-493-4288 or request an appointment through the official form.,,,,,Condado de Travis,Travis County,512-493-4288,,,,https://austinvoices.org/,,,,TX,,,,,https://austinvoices.org/,false,false,2026-08-11,Información revisada con el catálogo AVEY Fall 2026 y la fuente oficial el 11 ago 2026.
Texas Health and Human Services,"Solicitud de Medicaid, CHIP y SNAP","Medicaid, CHIP, and SNAP applications","Portal estatal para solicitar y administrar beneficios como Medicaid, CHIP y SNAP.","State portal for applying for and managing benefits such as Medicaid, CHIP, and SNAP.","Portal estatal para solicitar y administrar beneficios como Medicaid, CHIP y SNAP.","State portal for applying for and managing benefits such as Medicaid, CHIP, and SNAP.",,recursos-financieros,salud|comida,Medicaid|CHIP|SNAP|beneficios estatales|seguro médico,Medicaid|CHIP|SNAP|state benefits|health coverage,es|en,online|phone,free,La elegibilidad depende de cada programa estatal.,Eligibility depends on each state benefit program.,,,Visita Your Texas Benefits o llama al 2-1-1 y selecciona la opción 2.,Visit Your Texas Benefits or call 2-1-1 and select option 2.,,,,,Todos los condados de Texas,All Texas counties,211,,,,https://www.yourtexasbenefits.com/Learn/Home,,,,TX,,,,,https://www.yourtexasbenefits.com/Learn/Home,false,false,2026-08-11,Información revisada con el catálogo AVEY Fall 2026 y la fuente oficial el 11 ago 2026.
Central Texas Food Bank,Ayuda para solicitar beneficios públicos,Public benefits application assistance,Ayuda para solicitar SNAP y otros beneficios públicos mediante una cita por teléfono o en línea.,Help applying for SNAP and other public benefits through a phone or online appointment.,Ayuda para solicitar SNAP y otros beneficios públicos mediante una cita por teléfono o en línea.,Help applying for SNAP and other public benefits through a phone or online appointment.,central-texas-food-bank-benefits-williamson,recursos-financieros,comida,SNAP|beneficios|cupones de alimentos|solicitud,SNAP|benefits|food assistance|application,es|en,phone|online,free,Personas que necesitan orientación para solicitar beneficios públicos.,People who need guidance applying for public benefits.,,,Llama o programa una cita mediante el sitio oficial.,Call or schedule an appointment through the official website.,,,,,Condado de Travis|Condado de Williamson|Condado de Bastrop|Condado de Hays|Condado de Caldwell,Travis County|Williamson County|Bastrop County|Hays County|Caldwell County,512-684-2550,,,,https://www.centraltexasfoodbank.org/schedule-appointment,,,,TX,,,,,https://www.centraltexasfoodbank.org/schedule-appointment,false,false,2026-08-11,Información revisada con el catálogo AVEY Fall 2026 y la fuente oficial el 11 ago 2026.
Central Health,Programa de Acceso Médico (MAP),Medical Access Program (MAP),Cobertura local para residentes sin seguro y con bajos ingresos del condado de Travis que califican.,"Local health coverage for qualifying low-income, uninsured Travis County residents.",Cobertura local para residentes sin seguro y con bajos ingresos del condado de Travis que califican.,"Local health coverage for qualifying low-income, uninsured Travis County residents.",central-health-medical-access-program-map,salud,,MAP|cobertura médica|medicinas|dentista|bajos ingresos,MAP|health coverage|medications|dental|low income,es|en,online|phone|in_person,free,Residentes sin seguro del condado de Travis con ingresos de hasta 200% del nivel federal de pobreza que cumplan los demás criterios.,Uninsured Travis County residents with income at or below 200% of the federal poverty level who meet other criteria.,"Comprobante de residencia, identificación con foto para adultos, comprobantes de ingresos, tamaño del hogar y cobertura existente cuando corresponda.","Proof of residence, adult photo ID, income, household size, and existing coverage when applicable.","Solicita en línea o llama al 512-978-8130, opción 1.","Apply online or call 512-978-8130, option 1.","Ayuda telefónica de lunes a viernes, 8 a.m.–5 p.m.","Phone assistance Monday–Friday, 8 a.m.–5 p.m.",,,Condado de Travis,Travis County,512-978-8130,,,,https://www.centralhealth.net/map/,,,,TX,,,,,https://www.centralhealth.net/map/,false,false,2026-08-11,Información revisada con el catálogo AVEY Fall 2026 y la fuente oficial el 11 ago 2026.
Foundation Communities,Inscripción a cobertura médica en Prosper Centers,Health coverage enrollment at Prosper Centers,"Ayuda gratuita para comparar opciones e inscribirse en Medicaid, CHIP y planes del Mercado de Seguros.","Free help comparing options and enrolling in Medicaid, CHIP, and Marketplace health plans.","Ayuda gratuita para comparar opciones e inscribirse en Medicaid, CHIP y planes del Mercado de Seguros.","Free help comparing options and enrolling in Medicaid, CHIP, and Marketplace health plans.",,salud,recursos-financieros,seguro médico|Medicaid|CHIP|Mercado de Seguros|inscripción,health insurance|Medicaid|CHIP|Marketplace|enrollment,es|en,in_person|online|phone,free,Personas que necesitan orientación para solicitar o renovar cobertura médica.,People who need guidance applying for or renewing health coverage.,,,Programa una cita mediante el sitio oficial de Prosper Centers.,Schedule an appointment through the official Prosper Centers website.,,,,,Condado de Travis|Condado de Williamson,Travis County|Williamson County,737-717-4000,,,,https://foundcom.org/prosper-centers/health-coverage/,,,,TX,,,,,https://foundcom.org/prosper-centers/health-coverage/,false,false,2026-08-11,Información revisada con el catálogo AVEY Fall 2026 y la fuente oficial el 11 ago 2026.
Texas WIC,Nutrición y beneficios WIC,WIC nutrition and food benefits,"Alimentos saludables, orientación nutricional y apoyo de lactancia para personas embarazadas y familias con niños menores de cinco años.","Healthy foods, nutrition counseling, and breastfeeding support for pregnant people and families with children under five.","Alimentos saludables, orientación nutricional y apoyo de lactancia para personas embarazadas y familias con niños menores de cinco años.","Healthy foods, nutrition counseling, and breastfeeding support for pregnant people and families with children under five.",,comida,salud,WIC|nutrición|embarazo|lactancia|niños,WIC|nutrition|pregnancy|breastfeeding|children,es|en,phone|online|in_person,free,Personas embarazadas o lactantes y familias con niños menores de cinco años que cumplan los requisitos del programa.,Pregnant or breastfeeding people and families with children under five who meet program requirements.,,,Llama al 800-942-3678 o inicia la solicitud en línea.,Call 800-942-3678 or begin the application online.,,,,,Todos los condados de Texas,All Texas counties,800-942-3678,,,,https://texaswic.org/about-wic,,,,TX,,,,,https://texaswic.org/about-wic,false,false,2026-08-11,Información revisada con el catálogo AVEY Fall 2026 y la fuente oficial el 11 ago 2026.
Austin Voices for Education and Youth (AVEY),Ayuda para usar MyChart,MyChart enrollment and technology help,Navegadores tecnológicos ayudan a crear y utilizar MyChart para acceder a servicios de CommUnityCare.,Technology navigators help clients enroll in and use MyChart to access CommUnityCare services.,Navegadores tecnológicos ayudan a crear y utilizar MyChart para acceder a servicios de CommUnityCare.,Technology navigators help clients enroll in and use MyChart to access CommUnityCare services.,,salud,educacion,MyChart|tecnología|navegación digital|CommUnityCare,MyChart|technology|digital navigation|CommUnityCare,es|en,in_person|phone,free,Personas que necesitan ayuda tecnológica para usar MyChart.,People who need technology help using MyChart.,,,Llama al 512-493-4288 o solicita una cita mediante el formulario de laboratorio tecnológico.,Call 512-493-4288 or request a technology lab appointment through the form.,,,,,Condado de Travis,Travis County,512-493-4288,,,,https://austinvoices.org/,,,,TX,,,,,https://austinvoices.org/,false,false,2026-08-11,Información revisada con el catálogo AVEY Fall 2026 y la fuente oficial el 11 ago 2026.
CommUnityCare Health Centers,Atención médica primaria y especializada,Primary and specialty health care,"Centros comunitarios con atención primaria, dental, pediátrica, conductual, farmacia, laboratorio y otras especialidades.","Community health centers providing primary, dental, pediatric, behavioral, pharmacy, lab, and specialty care.","Centros comunitarios con atención primaria, dental, pediátrica, conductual, farmacia, laboratorio y otras especialidades.","Community health centers providing primary, dental, pediatric, behavioral, pharmacy, lab, and specialty care.",atencion-medica-primaria-y-especializada-communitycare-health-centers,salud,,atención primaria|pediatría|dental|salud conductual|farmacia,primary care|pediatrics|dental|behavioral health|pharmacy,es|en,in_person|online|phone,sliding_scale,Atiende sin importar el estado del seguro o la capacidad de pago; confirma requisitos y costo.,Serves patients regardless of insurance status or ability to pay; confirm requirements and cost.,,,Llama al 512-978-9015 o solicita una cita mediante el sitio oficial.,Call 512-978-9015 or request an appointment through the official website.,,,,,Condado de Travis,Travis County,512-978-9015,,,,https://communitycaretx.org/,,,,TX,,,,,https://communitycaretx.org/,false,false,2026-08-11,Información revisada con el catálogo AVEY Fall 2026 y la fuente oficial el 11 ago 2026.
Central Health,Centros de salud y bienestar,Health and wellness centers,Servicios clínicos y de bienestar en centros comunitarios del este y sureste del condado de Travis.,Clinical and wellness services at community centers in eastern and southeastern Travis County.,Servicios clínicos y de bienestar en centros comunitarios del este y sureste del condado de Travis.,Clinical and wellness services at community centers in eastern and southeastern Travis County.,,salud,,clínica|bienestar|servicios médicos|Central Health,clinic|wellness|medical services|Central Health,es|en,in_person|phone,unknown,La elegibilidad y los servicios disponibles varían por ubicación.,Eligibility and available services vary by location.,,,Consulta las ubicaciones y llama antes de acudir.,Review locations and call before visiting.,,,,,Condado de Travis,Travis County,512-978-8000,,,,https://www.centralhealth.net/clinical-services/locations/,,,,TX,,,,,https://www.centralhealth.net/clinical-services/locations/,false,false,2026-08-11,Información revisada con el catálogo AVEY Fall 2026 y la fuente oficial el 11 ago 2026.
Lone Star Circle of Care,Servicios comunitarios de salud,Community health services,"Atención primaria, pediátrica, dental, de salud conductual, salud de la mujer y otras especialidades en varias clínicas.","Primary, pediatric, dental, behavioral, women’s health, and specialty care at multiple clinics.","Atención primaria, pediátrica, dental, de salud conductual, salud de la mujer y otras especialidades en varias clínicas.","Primary, pediatric, dental, behavioral, women’s health, and specialty care at multiple clinics.",lone-star-circle-of-care-community-health-services,salud,,clínica comunitaria|pediatría|OBGYN|dental|salud mental,community clinic|pediatrics|OBGYN|dental|mental health,es|en,in_person|online|phone,sliding_scale,La organización atiende a pacientes con y sin seguro; confirma elegibilidad y tarifa.,The organization serves insured and uninsured patients; confirm eligibility and fees.,,,Llama al 877-800-5722 o usa el portal oficial para solicitar una cita.,Call 877-800-5722 or use the official portal to request an appointment.,,,,,Condado de Travis|Condado de Williamson|Condado de Bastrop,Travis County|Williamson County|Bastrop County,877-800-5722,,,,https://lonestarcares.org/locations/,,,,TX,,,,,https://lonestarcares.org/locations/,false,false,2026-08-11,Información revisada con el catálogo AVEY Fall 2026 y la fuente oficial el 11 ago 2026.
