organization_name,title_es,title_en,summary_es,summary_en,slug,primary_category
"Accessible Housing Austin! (AHA!)","Accessible Housing Austin! (AHA!)","Accessible Housing Austin! (AHA!)","Ofrece vivienda accesible a personas y familias con discapacidades que cumplen los requisitos de ingresos, priorizando necesidades específicas de accesibilidad.","Provides accessible housing for individuals and families with disabilities who meet income requirements, prioritizing specific accessibility needs.","accessible-housing-austin-aha-accessible-housing-austin-aha","vivienda"
"Albizu Law Firm","Servicios legales de inmigración y familia","Immigration and family law services","Ofrece servicios legales relacionados con inmigración y derecho familiar.","Provides legal services related to immigration and family law.","albizu-law-firm-immigration-and-family-law-services","ayuda-legal"
"Angel House/ Austin Baptist Chapel","Angel House/ Austin Baptist Chapel","Angel House/ Austin Baptist Chapel","Ofrece desayunos y almuerzos para llevar todos los días, además de acceso a duchas para personas sin vivienda.","Provides daily grab-and-go breakfasts and lunches, along with shower access for people experiencing homelessness.","angel-house-austin-baptist-chapel-angel-house-austin-baptist-chapel","comida"
"ATX Free Fridge Project","ATX Free Fridge Project","ATX Free Fridge Project","Mantiene refrigeradores y despensas comunitarias con alimentos gratuitos en varias ubicaciones de Austin.","Maintains community refrigerators and pantries with free food at several Austin locations.","atx-free-fridge-project-atx-free-fridge-project","comida"
"Austin Energy","Apoyo financiero Plus 1","Financial Support Plus 1","Ofrece asistencia de emergencia para ayudar a clientes elegibles a pagar facturas de servicios públicos.","Provides emergency assistance to help eligible customers pay utility bills.","austin-energy-financial-support-plus-1","recursos-financieros"
"Austin Energy","Descuento del Programa de Asistencia al Cliente","Customer Assistance Program discount","Ofrece descuentos en facturas de servicios públicos a hogares elegibles que participan en programas de beneficios públicos.","Provides utility bill discounts to eligible households participating in public benefit programs.","austin-energy-customer-assistance-program-discount","recursos-financieros"
"Austin Habitat for Humanity Homeownership Program","Austin Habitat for Humanity Homeownership Program","Austin Habitat for Humanity Homeownership Program","Ofrece educación, orientación y oportunidades de compra de vivienda para solicitantes que cumplen los requisitos del programa.","Provides education, counseling, and homeownership opportunities for applicants who meet program requirements.","austin-habitat-for-humanity-homeownership-program-austin-habitat-for-humanity-homeownership-program","vivienda"
"Austin Tenants Council (Now a project of Texas RioGrande Legal Aid)","Austin Tenants Council","Austin Tenants Council (Now a project of Texas RioGrande Legal Aid)","Ofrece orientación para inquilinos, mediación, apoyo de vivienda justa e información sobre adaptaciones razonables.","Provides tenant counseling, mediation, fair housing support, and information about reasonable accommodations.","austin-tenants-council-now-a-project-of-texas-riogrande-legal-aid-austin-tenants-council-now-a-project-of-texa","ayuda-legal"
"BASTA (Building and Strengthening Tenant Action)","BASTA (Buscando Acción y Solidaridad que Transforme el Arrendamiento)","BASTA (Building and Strengthening Tenant Action)","Apoya a inquilinos que desean organizarse para mejorar las condiciones de vivienda. No ofrece asesoramiento individual sobre disputas.","Supports tenants who want to organize to improve housing conditions. It does not provide individual counseling about disputes.","basta-building-and-strengthening-tenant-action-basta-building-and-strengthening-tenant-action","ayuda-legal"
"Caritas of Austin","Caritas of Austin","Caritas of Austin","Ofrece alimentos, almuerzos para llevar y apoyo para otras necesidades básicas a personas y familias elegibles.","Provides groceries, sack lunches, and support for other basic needs to eligible individuals and families.","caritas-of-austin-caritas-of-austin","comida"
"Catholic Charities of Central Texas","Asistencia financiera","Financial assistance","Ofrece asistencia limitada para alquiler, hipoteca y servicios públicos mediante un proceso de solicitud y evaluación.","Provides limited rent, mortgage, and utility assistance through an application and assessment process.","catholic-charities-of-central-texas-catholic-charities-of-central-texas","vivienda"
"Central Texas Food Bank and SNAP Assistance","Central Texas Food Bank and SNAP Assistance","Central Texas Food Bank and SNAP Assistance","Ayuda a localizar alimentos y ofrece orientación para solicitar beneficios de SNAP y otros programas de nutrición.","Helps people locate food and provides guidance for applying for SNAP benefits and other nutrition programs.","central-texas-food-bank-and-snap-assistance-central-texas-food-bank-and-snap-assistance","comida"
"Central Texas Lawyer Referral Service","Referencia de Abogados en Austin, TX (Lawyer Referral of Central TX)","Central Texas Lawyer Referral Service","Conecta a las personas con abogados participantes y puede facilitar una consulta inicial sobre su asunto legal.","Connects people with participating attorneys and may arrange an initial consultation about their legal matter.","central-texas-lawyer-referral-service-central-texas-lawyer-referral-service","ayuda-legal"
"City of Austin","Centros de calentamiento","Warming Centers","Ofrece espacios públicos para resguardarse del frío durante el horario regular de parques y bibliotecas participantes.","Provides public spaces for relief from cold weather during regular hours at participating parks and libraries.","city-of-austin-warming-centers","vivienda"
"Colin's Hope","Apoyo comunitario para personas y familias","Community support for individuals and families","Ofrece educación gratuita y bilingüe sobre seguridad en el agua para familias y comunidades.","Provides free bilingual water-safety education for families and communities.","colin-s-hope-community-support-for-individuals-and-families","otros-recursos"
"Consulado General de México en Austin","Información consular y comunitaria","Consular and community information","Ofrece información consular y recursos comunitarios para personas mexicanas que viven en el exterior.","Provides consular information and community resources for Mexican nationals living abroad.","consulado-general-de-mexico-en-austin-consular-and-community-information","ayuda-legal"
"David Chapel Missionary Baptist Church","David Chapel Missionary Baptist Church","David Chapel Missionary Baptist Church","Ofrece asistencia limitada para alquiler atrasado y servicios públicos a hogares elegibles.","Provides limited assistance with past-due rent and utility bills for eligible households.","david-chapel-missionary-baptist-church-david-chapel-missionary-baptist-church","vivienda"
"Dress for Success Austin","Apoyo laboral y ropa profesional","Employment and professional clothing support","Ofrece ropa profesional, preparación laboral y apoyo para mujeres que buscan empleo o crecimiento profesional.","Provides professional clothing, career preparation, and employment support for women pursuing work or career advancement.","dress-for-success-austin-employment-and-professional-clothing-support","otros-recursos"
"Eviction Solidarity Network (http://evictionisnotacure.com/)","Red de Solidaridad Contra el Desalojo","Eviction Solidarity Network (http://evictionisnotacure.com/)","Ofrece información sobre el proceso de desalojo, audiencias judiciales, interpretación y materiales de apoyo para inquilinos.","Provides information about the eviction process, court hearings, interpretation, and support materials for tenants.","eviction-solidarity-network-http-evictionisnotacure-com-eviction-solidarity-network-http-evictionisnotacure-co","ayuda-legal"
"Foundation Communities","Foundation Communities","Foundation Communities","Ofrece comunidades de vivienda asequible y orientación sobre disponibilidad y solicitudes para hogares elegibles.","Provides affordable housing communities and guidance about availability and applications for eligible households.","foundation-communities-foundation-communities","vivienda"
"Greater Mt. Zion Church","Asistencia para alquiler y servicios públicos","Rent and utility assistance","Ofrece asistencia limitada para alquiler y servicios públicos a personas y familias elegibles.","Provides limited rent and utility assistance to eligible individuals and families.","greater-mt-zion-church-greater-mt-zion-church","vivienda"
"Guadalupe Neighborhood Development Corporation","Guadalupe Neighborhood Development Corporation","Guadalupe Neighborhood Development Corporation","Ofrece opciones de alquiler y compra de vivienda asequible, con prioridad para familias con vínculos generacionales al vecindario.","Provides affordable rental and homeownership options, prioritizing families with generational ties to the neighborhood.","guadalupe-neighborhood-development-corporation-guadalupe-neighborhood-development-corporation","vivienda"
"HealthWell Foundation","HealthWell Foundation","HealthWell Foundation","Ayuda a personas con seguro insuficiente a pagar copagos, primas y otros costos médicos elegibles.","Helps underinsured individuals pay eligible copays, premiums, and other medical costs.","healthwell-foundation-healthwell-foundation","salud"
