"organization_name","title_es","title_en","summary_es","summary_en","description_es","description_en","slug","primary_category","additional_categories","keywords_es","keywords_en","languages","service_methods","cost_type","eligibility_es","eligibility_en","required_documents_es","required_documents_en","application_steps_es","application_steps_en","hours_es","hours_en","accessibility_notes_es","accessibility_notes_en","service_area_es","service_area_en","phone","sms_phone","whatsapp_phone","email","website_url","address_line_1","address_line_2","city","state","postal_code","county","latitude","longitude","source_url","is_featured","is_emergency","last_verified_at","verification_notes"
"Central Texas Lawyer Referral Service","Referencia de Abogados en Austin, TX (Lawyer Referral of Central TX)","Central Texas Lawyer Referral Service","Se puede solicitar consulta legal gratis de 30 minutos por teléfono o en línea. Un Formulario de Referencia Instantánea se puede llenar en línea. Llame al (512) 472-8303 o (866) 303-8303 (línea de llamada gratuita) Horario: lunes - viernes, 8:00 a.m.- 4:30 p.m. Más información aquí…","Free 30-minute consults can be requested via phone or online. An Instant Referral Request Form can also be filled out online. Call (512) 472-8303 or (866) 303-8303. Hours: Monday- Friday, 8:00 AM- 4:30 PM More information at: https://austinlrs.com/","Se puede solicitar consulta legal gratis de 30 minutos por teléfono o en línea. Un Formulario de Referencia Instantánea se puede llenar en línea. Llame al (512) 472-8303 o (866) 303-8303 (línea de llamada gratuita) Horario: lunes - viernes, 8:00 a.m.- 4:30 p.m. Más información aquí: https://austinlrs.com/en-espanol/","Free 30-minute consults can be requested via phone or online. An Instant Referral Request Form can also be filled out online. Call (512) 472-8303 or (866) 303-8303. Hours: Monday- Friday, 8:00 AM- 4:30 PM More information at: https://austinlrs.com/","central-texas-lawyer-referral-service-central-texas-lawyer-referral-service","ayuda-legal","","Referencia de Abogados en Austin, TX (Lawyer Referral of Central TX)|Central Texas Lawyer Referral Service","Central Texas Lawyer Referral Service|Central Texas Lawyer Referral Service","es|en","phone|online","free","","","","","Comunícate con la organización para confirmar disponibilidad, requisitos y cómo solicitar el servicio.","Contact the organization to confirm availability, requirements, and how to request the service.","Horario: lunes - viernes, 8:00 a.m.- 4:30 p.m.","Hours: Monday- Friday, 8:00 AM- 4:30 PM","","","Austin y comunidades cercanas del Centro de Texas","Austin and surrounding Central Texas communities","512-472-8303","","","","https://austinlrs.com/","","","","TX","","","","","https://austinlrs.com/","false","false","","Consolidado de las guías pública EN/ES de Eviction Solidarity Network el 2026-08-10. Revisar los datos y la fuente oficial antes de publicar."
"Texas Law Help Legal Help Finder","Texas Law Help","Texas Law Help Legal Help Finder","Buscador de proveedores de ayuda legal en todos los condados del estado de Texas:","Legal provider search for all counties in Texas at https://texaslawhelp.org/legal-help/legal-help-finder","Buscador de proveedores de ayuda legal en todos los condados del estado de Texas:","Legal provider search for all counties in Texas at https://texaslawhelp.org/legal-help/legal-help-finder","texas-law-help-legal-help-finder-texas-law-help-legal-help-finder","ayuda-legal","","Texas Law Help|Texas Law Help Legal Help Finder","Texas Law Help Legal Help Finder|Texas Law Help Legal Help Finder","es|en","online","unknown","","","","","Comunícate con la organización para confirmar disponibilidad, requisitos y cómo solicitar el servicio.","Contact the organization to confirm availability, requirements, and how to request the service.","","","","","Austin y comunidades cercanas del Centro de Texas","Austin and surrounding Central Texas communities","","","","","https://texaslawhelp.org/legal-help/legal-help-finder","","","","TX","","","","","https://texaslawhelp.org/legal-help/legal-help-finder","false","false","","Consolidado de las guías pública EN/ES de Eviction Solidarity Network el 2026-08-10. Revisar los datos y la fuente oficial antes de publicar."
"Texas Legal Services Center","Texas Legal Services Center","Texas Legal Services Center","Texas Legal Services Center es una organización sin fines de lucro que da asesoramiento, apoyo, representación y educación legal a personas marginadas en todo el estado. Con más de una docena de áreas de práctica, su trabajo cubre casi todos los aspectos del derecho civil que afectan a los tejanos…","Texas Legal Services Center is a nonprofit organization that provides legal advice, advocacy, representation, and education to underserved people across the state. With more than a dozen practice areas, TLSC’s work touches almost every aspect of civil law that impacts low-income Texans. More…","Texas Legal Services Center es una organización sin fines de lucro que da asesoramiento, apoyo, representación y educación legal a personas marginadas en todo el estado. Con más de una docena de áreas de práctica, su trabajo cubre casi todos los aspectos del derecho civil que afectan a los tejanos de ingresos bajos. Más información aquí: https://www.tlsc.org/?lang=es. Chat en vivo en línea con un estudiante de derecho, abogado o asistente legal. Disponible de lunes a jueves de 10:00 a.m.- 3:00 p.m. TLSC ofrece quioscos de tribunales virtuales para asistir a su audiencia judicial en línea, obtener ayuda legal gratis o buscar información y recursos legales. Para más información y para buscar un quiosco cerca de usted visite: https://www.tlsc.org/kiosks?lang=es.","Texas Legal Services Center is a nonprofit organization that provides legal advice, advocacy, representation, and education to underserved people across the state. With more than a dozen practice areas, TLSC’s work touches almost every aspect of civil law that impacts low-income Texans. More information at: https://www.tlsc.org/. LiveChat online with a law student, attorney, or paralegal available Monday- Thursday from 10:00 AM- 3:00 PM. TLSC offers free “virtual court kiosks” which allow users to attend online court hearings, get free legal help, or find legal information and resources. For more information and to find a kiosk near you, visit: https://www.tlsc.org/kiosks.","texas-legal-services-center-texas-legal-services-center","ayuda-legal","","Texas Legal Services Center|Texas Legal Services Center","Texas Legal Services Center|Texas Legal Services Center","es|en","online","free","","","","","Comunícate con la organización para confirmar disponibilidad, requisitos y cómo solicitar el servicio.","Contact the organization to confirm availability, requirements, and how to request the service.","Texas Legal Services Center es una organización sin fines de lucro que da asesoramiento, apoyo, representación y educación legal a personas marginadas en todo el estado. Con más de una docena de áreas de práctica, su trabajo cubre casi todos los aspectos del derecho civil que afectan a los tejanos de ingresos bajos. Más información aquí: https://www.tlsc.org/?lang=es. Chat en vivo en línea con un estudiante de derecho, abogado o asistente legal. Disponible de lunes a jueves de 10:00 a.m.- 3:00 p.m.","Texas Legal Services Center is a nonprofit organization that provides legal advice, advocacy, representation, and education to underserved people across the state. With more than a dozen practice areas, TLSC’s work touches almost every aspect of civil law that impacts low-income Texans. More information at: https://www.tlsc.org/. LiveChat online with a law student, attorney, or paralegal available Monday- Thursday from 10:00 AM- 3:00 PM.","","","Austin y comunidades cercanas del Centro de Texas","Austin and surrounding Central Texas communities","","","","","https://www.tlsc.org/","","","","TX","","","","","https://www.tlsc.org/","false","false","","Consolidado de las guías pública EN/ES de Eviction Solidarity Network el 2026-08-10. Revisar los datos y la fuente oficial antes de publicar."
"Texas RioGrande Legal Aid","Texas RioGrande Legal Aid (TRLA)","Texas RioGrande Legal Aid","Ayuda legal gratuita para los que califican: TRLA proporciona asesoría para problemas legales civiles (no asuntos criminales) incluyendo: vivienda, asistencia por desastre, derecho de familia, inmigración, beneficios públicos y más. Las solicitudes se aceptan solamente por teléfono. Asegúrese de…","Free legal help for those who qualify – housing, disaster assistance, family law, immigration, public benefits, and more (no criminal matters, only civil). Call wait times can be lengthy, but can be shorter if you call first thing in the morning. Be sure to listen to the voice menu options…","Ayuda legal gratuita para los que califican: TRLA proporciona asesoría para problemas legales civiles (no asuntos criminales) incluyendo: vivienda, asistencia por desastre, derecho de familia, inmigración, beneficios públicos y más. Las solicitudes se aceptan solamente por teléfono. Asegúrese de escuchar atentamente las opciones del menú de voz. Los tiempos de espera para solicitar servicios pueden ser largos, se recomienda llamar a primera hora de la mañana. Prepárese para proporcionar información confidencial sobre sus ingresos familiares, los ingresos de su familia, la composición de su hogar y su estatus migratorio. Para solicitar servicios legales gratuitos, llame al: (956) 996-8752 o al número gratuito (833) 329-8752 lunes a viernes de 9:00 a.m.- 5:00 p.m. Encuentre más información visitando https://www.trla.org/alojamiento-esp Aunque no consiga que lo ayuden antes de la audiencia, le recomendamos que siga llamando porque es posible que le ayuden durante el plazo de apelación (5 días) o después, si decide apelar.","Free legal help for those who qualify – housing, disaster assistance, family law, immigration, public benefits, and more (no criminal matters, only civil). Call wait times can be lengthy, but can be shorter if you call first thing in the morning. Be sure to listen to the voice menu options carefully. Please be prepared to provide confidential information about your household composition, income and immigration status. To apply for free legal services, call: (956) 996-8752 or (833) 329-8752 toll-free Monday- Friday from 9:00 AM- 5:00 PM. Applications are only accepted through the phone. Find more information by visiting https://www.trla.org/housinghelp Even if you don't get through before your hearing, we recommend continuing to call because assistance may be available during the appeal window (5 days) or after if you do decide to appeal","texas-riogrande-legal-aid-texas-riogrande-legal-aid","ayuda-legal","","Texas RioGrande Legal Aid (TRLA)|Texas RioGrande Legal Aid","Texas RioGrande Legal Aid|Texas RioGrande Legal Aid","es|en","phone|online","free","","","","","Comunícate con la organización para confirmar disponibilidad, requisitos y cómo solicitar el servicio.","Contact the organization to confirm availability, requirements, and how to request the service.","Para solicitar servicios legales gratuitos, llame al: (956) 996-8752 o al número gratuito (833) 329-8752 lunes a viernes de 9:00 a.m.- 5:00 p.m. Encuentre más información visitando https://www.trla.org/alojamiento-esp","To apply for free legal services, call: (956) 996-8752 or (833) 329-8752 toll-free Monday- Friday from 9:00 AM- 5:00 PM. Applications are only accepted through the phone.","","","Austin y comunidades cercanas del Centro de Texas","Austin and surrounding Central Texas communities","956-996-8752","","","","https://www.trla.org/housinghelp","","","","TX","","","","","https://www.trla.org/housinghelp","false","false","","Consolidado de las guías pública EN/ES de Eviction Solidarity Network el 2026-08-10. Revisar los datos y la fuente oficial antes de publicar."
"Volunteer Legal Services of Central Texas","Volunteer Legal Services of Central Texas","Volunteer Legal Services of Central Texas","Para solicitar asistencia legal o obtener información sobre clínicas en persona, visite: https://www.vlsoct.org/get-help/obtenga-ayuda/. La solicitud en línea no siempre está abierta dependiendo de la capacidad de la semana. Si visita el sitio y la aplicación está cerrada, vuelva a intentarlo dentro…","To apply for legal assistance or get information on in-person clinics, visit: http://www.vlsoct.org/get-help/ The online application is not always open depending on the capacity for the week. If you visit the site and the application is closed, please try again in a few days. Receive legal advice…","Para solicitar asistencia legal o obtener información sobre clínicas en persona, visite: https://www.vlsoct.org/get-help/obtenga-ayuda/. La solicitud en línea no siempre está abierta dependiendo de la capacidad de la semana. Si visita el sitio y la aplicación está cerrada, vuelva a intentarlo dentro de unos días. Reciba asesoramiento legal por teléfono: la clínica telefónica de VLS opera dos veces por semana, los martes de 9:00 a.m.- 1:00 p.m. y los miércoles de 5:00 p.m.- 8:00 p.m. Los abogados voluntarios realizan consultas telefónicas de asesoramiento legal durante esos días y horarios. Abogados voluntarios realizan consultas telefónicas de asesoramiento jurídico durante esos días y períodos de tiempo. Tenga en cuenta que esta consulta telefónica no es un servicio de asistencia urgente. Primero debe presentar su solicitud en línea y luego se le programará una consulta no antes de la semana siguiente.","To apply for legal assistance or get information on in-person clinics, visit: http://www.vlsoct.org/get-help/ The online application is not always open depending on the capacity for the week. If you visit the site and the application is closed, please try again in a few days. Receive legal advice over the phone: The VLS Phone Clinic operates twice weekly on Tuesdays 9:00 AM - 1:00 PM and Wednesdays 5:00 - 8:00 PM. Volunteer attorneys conduct legal advice phone consultations during those days and time windows. Please note that this phone clinic is not a helpline. You must first apply online and then you will be scheduled to receive a consultation the following week at the earliest.","volunteer-legal-services-of-central-texas-volunteer-legal-services-of-central-texas","ayuda-legal","","Volunteer Legal Services of Central Texas|Volunteer Legal Services of Central Texas","Volunteer Legal Services of Central Texas|Volunteer Legal Services of Central Texas","es|en","online","unknown","","","","","Comunícate con la organización para confirmar disponibilidad, requisitos y cómo solicitar el servicio.","Contact the organization to confirm availability, requirements, and how to request the service.","Reciba asesoramiento legal por teléfono: la clínica telefónica de VLS opera dos veces por semana, los martes de 9:00 a.m.- 1:00 p.m. y los miércoles de 5:00 p.m.- 8:00 p.m. Los abogados voluntarios realizan consultas telefónicas de asesoramiento legal durante esos días y horarios. Abogados voluntarios realizan consultas telefónicas de asesoramiento jurídico durante esos días y períodos de tiempo. Tenga en cuenta que esta consulta telefónica no es un servicio de asistencia urgente. Primero debe presentar su solicitud en línea y luego se le programará una consulta no antes de la semana siguiente.","","","","Austin y comunidades cercanas del Centro de Texas","Austin and surrounding Central Texas communities","","","","","http://www.vlsoct.org/get-help","","","","TX","","","","","http://www.vlsoct.org/get-help","false","false","","Consolidado de las guías pública EN/ES de Eviction Solidarity Network el 2026-08-10. Revisar los datos y la fuente oficial antes de publicar."
"All Saints Episcopal Church Rent and Utility Assistance","All Saints Episcopal Church","All Saints Episcopal Church Rent and Utility Assistance","Iglesia que ayuda con el alquiler y los servicios públicos. Proporciona ayuda con UNO de las necesidades siguientes cada seis meses: Un cheque para ayudar a pagar una factura (alquiler, gasolina, teléfono, etc.) Un compromiso realizado a través del programa Plus 1 de Austin Energy para ayudar a…","Help tenants with ONE of the following every six months: A check to help pay a bill (rent, gas, phone, etc.) A pledge made through Austin Energy's Plus 1 Program to help pay a utility bill 31-day bus passes $10 HEB gift cards For assistance, tenants can gather in the church lawn on Tuesdays at 9:30…","Iglesia que ayuda con el alquiler y los servicios públicos. Proporciona ayuda con UNO de las necesidades siguientes cada seis meses: Un cheque para ayudar a pagar una factura (alquiler, gasolina, teléfono, etc.) Un compromiso realizado a través del programa Plus 1 de Austin Energy para ayudar a pagar una factura de servicios públicos Pases de autobús de 31 días Tarjetas de regalo HEB de $10 Para obtener ayuda, los inquilinos pueden reunirse en el césped de la iglesia los martes a las 9:30 a.m. Es mejor llegar temprano, ya que solo se ayuda a las primeras 60 personas y los números se entregan a las 7:00 a.m. Traiga una identificación con fotografía y documentación de cualquier factura relacionada. Ubicado en 209 W. 27th Street, Austin, TX, 78705. allsaints-austin.org/loaves-and-fishes/ Teléfono: (512) 637-2826","Help tenants with ONE of the following every six months: A check to help pay a bill (rent, gas, phone, etc.) A pledge made through Austin Energy's Plus 1 Program to help pay a utility bill 31-day bus passes $10 HEB gift cards For assistance, tenants can gather in the church lawn on Tuesdays at 9:30 AM. Best to arrive early as only the first 60 people are helped and numbers are given out at 7:00 AM. Bring a photo ID and documentation of any related bills. Located at 209 W. 27th Street, Austin, TX, 78705. https://www.allsaints-austin.org/serve/loaves-and-fishes/ Phone: (512) 637-2826","all-saints-episcopal-church-rent-and-utility-assistance-all-saints-episcopal-church-rent-and-utility-assistanc","vivienda","recursos-financieros","All Saints Episcopal Church|All Saints Episcopal Church Rent and Utility Assistance","All Saints Episcopal Church Rent and Utility Assistance|All Saints Episcopal Church Rent and Utility Assistance","es|en","in_person|phone|online","paid","","","","","Comunícate con la organización para confirmar disponibilidad, requisitos y cómo solicitar el servicio.","Contact the organization to confirm availability, requirements, and how to request the service.","Para obtener ayuda, los inquilinos pueden reunirse en el césped de la iglesia los martes a las 9:30 a.m. Es mejor llegar temprano, ya que solo se ayuda a las primeras 60 personas y los números se entregan a las 7:00 a.m. Traiga una identificación con fotografía y documentación de cualquier factura relacionada.","","","","Austin, Condado de Travis","Austin, Travis County","512-637-2826","","","","https://www.allsaints-austin.org/serve/loaves-and-fishes","209 W. 27th Street","","Austin","TX","78705","Travis","","","https://www.allsaints-austin.org/serve/loaves-and-fishes","false","false","","Consolidado de las guías pública EN/ES de Eviction Solidarity Network el 2026-08-10. Revisar los datos y la fuente oficial antes de publicar."
"Catholic Charities of Central Texas","Asistencia financiera","Financial assistance","Ofrecen asistencia financiera. Los servicios de asistencia para el alquiler/hipoteca y de servicios públicos están disponibles únicamente con solicitud en línea. Complete una solicitud por internet en https://ccctx.org/financial-stability-referral-form/ Puede llamar al (512) 651-6100 para obtener…","Financial Assistance. Rent/mortgage and utility assistance services are available by online application only. Fill out an online application: ccctx.org/financial-stability/. You can call (512) 651-6100 for more information. You will be prompted to leave a message. Be sure to include your name…","Ofrecen asistencia financiera. Los servicios de asistencia para el alquiler/hipoteca y de servicios públicos están disponibles únicamente con solicitud en línea. Complete una solicitud por internet en https://ccctx.org/financial-stability-referral-form/ Puede llamar al (512) 651-6100 para obtener más información. Se le pedirá que deje un mensaje. Asegúrese de incluir su nombre, información de contacto y el tipo de asistencia que necesita.","Financial Assistance. Rent/mortgage and utility assistance services are available by online application only. Fill out an online application: ccctx.org/financial-stability/. You can call (512) 651-6100 for more information. You will be prompted to leave a message. Be sure to include your name, contact information, and the type of assistance you need.","catholic-charities-of-central-texas-catholic-charities-of-central-texas","vivienda","recursos-financieros","Asistencia financiera|Catholic Charities of Central Texas","Financial assistance|Catholic Charities of Central Texas","es|en","phone|online","unknown","","","","","Comunícate con la organización para confirmar disponibilidad, requisitos y cómo solicitar el servicio.","Contact the organization to confirm availability, requirements, and how to request the service.","","","","","Austin y comunidades cercanas del Centro de Texas","Austin and surrounding Central Texas communities","512-651-6100","","","","https://ccctx.org/financial-stability","","","","TX","","","","","https://ccctx.org/financial-stability","false","false","","Consolidado de las guías pública EN/ES de Eviction Solidarity Network el 2026-08-10. Revisar los datos y la fuente oficial antes de publicar."
"David Chapel Missionary Baptist Church","David Chapel Missionary Baptist Church","David Chapel Missionary Baptist Church","Iglesia que ofrece asistencia para alquiler y servicios públicos. La asistencia para el alquiler es solo para alquileres vencidos. Solicitar en línea los lunes de 10:30 a.m.- 12:30 p.m. https://davidchapel.org/financial-hardship-donations/ Teléfono: (512) 472-9748, Horario: lunes- viernes de 8:00…","Rent and utility assistance. Rental assistance is only for past due rent. Apply online on Mondays from 10:30 AM to 12:30 PM. https://davidchapel.org/financial-hardship-donations/ Phone: (512) 472-9748, Hours: Monday- Friday 8:00 AM- 3:00 PM","Iglesia que ofrece asistencia para alquiler y servicios públicos. La asistencia para el alquiler es solo para alquileres vencidos. Solicitar en línea los lunes de 10:30 a.m.- 12:30 p.m. https://davidchapel.org/financial-hardship-donations/ Teléfono: (512) 472-9748, Horario: lunes- viernes de 8:00 a.m.- 3:00 p.m.","Rent and utility assistance. Rental assistance is only for past due rent. Apply online on Mondays from 10:30 AM to 12:30 PM. https://davidchapel.org/financial-hardship-donations/ Phone: (512) 472-9748, Hours: Monday- Friday 8:00 AM- 3:00 PM","david-chapel-missionary-baptist-church-david-chapel-missionary-baptist-church","vivienda","recursos-financieros","David Chapel Missionary Baptist Church|David Chapel Missionary Baptist Church","David Chapel Missionary Baptist Church|David Chapel Missionary Baptist Church","es|en","phone|online","unknown","","","","","Comunícate con la organización para confirmar disponibilidad, requisitos y cómo solicitar el servicio.","Contact the organization to confirm availability, requirements, and how to request the service.","Iglesia que ofrece asistencia para alquiler y servicios públicos. La asistencia para el alquiler es solo para alquileres vencidos. Solicitar en línea los lunes de 10:30 a.m.- 12:30 p.m. https://davidchapel.org/financial-hardship-donations/ Teléfono: (512) 472-9748, Horario: lunes- viernes de 8:00 a.m.- 3:00 p.m.","Phone: (512) 472-9748, Hours: Monday- Friday 8:00 AM- 3:00 PM","","","Austin y comunidades cercanas del Centro de Texas","Austin and surrounding Central Texas communities","512-472-9748","","","","https://davidchapel.org/financial-hardship-donations","","","","TX","","","","","https://davidchapel.org/financial-hardship-donations","false","false","","Consolidado de las guías pública EN/ES de Eviction Solidarity Network el 2026-08-10. Revisar los datos y la fuente oficial antes de publicar."
"Greater Mt. Zion Church","Asistencia para alquiler y servicios públicos","Rent and utility assistance","Iglesia que ofrece asistencia del alquiler y servicios públicos. Envíe un correo electrónico a poverty@gmzaustin.org o llama para obtener información sobre solicitudes y elegibilidad. gmzaustin.org/causes/poverty Teléfono: (512) 469-9020 (martes) y (512) 662-5811 (jueves) | Horario: martes y jueves…","Rent and utility assistance. Email poverty@gmzaustin.org or call for application and eligibility information. gmzaustin.org/causes/poverty Phone: (512) 469-9020 (Tuesday) and (512) 662-5811 (Thursday) Hours: Tuesday & Thursday 10:30 AM- 1:30 PM","Iglesia que ofrece asistencia del alquiler y servicios públicos. Envíe un correo electrónico a poverty@gmzaustin.org o llama para obtener información sobre solicitudes y elegibilidad. gmzaustin.org/causes/poverty Teléfono: (512) 469-9020 (martes) y (512) 662-5811 (jueves) | Horario: martes y jueves de 10:30 a.m.- 1:30 p.m.","Rent and utility assistance. Email poverty@gmzaustin.org or call for application and eligibility information. gmzaustin.org/causes/poverty Phone: (512) 469-9020 (Tuesday) and (512) 662-5811 (Thursday) Hours: Tuesday & Thursday 10:30 AM- 1:30 PM","greater-mt-zion-church-greater-mt-zion-church","vivienda","recursos-financieros","Asistencia para alquiler y servicios públicos|Greater Mt. Zion Church","Rent and utility assistance|Greater Mt. Zion Church","es|en","phone|online","unknown","","","","","Comunícate con la organización para confirmar disponibilidad, requisitos y cómo solicitar el servicio.","Contact the organization to confirm availability, requirements, and how to request the service.","Teléfono: (512) 469-9020 (martes) y (512) 662-5811 (jueves) | Horario: martes y jueves de 10:30 a.m.- 1:30 p.m.","Phone: (512) 469-9020 (Tuesday) and (512) 662-5811 (Thursday) Hours: Tuesday & Thursday 10:30 AM- 1:30 PM","","","Austin y comunidades cercanas del Centro de Texas","Austin and surrounding Central Texas communities","512-469-9020","","","poverty@gmzaustin.org","http://gmzaustin.org/causes/poverty","","","","TX","","","","","http://gmzaustin.org/causes/poverty","false","false","","Consolidado de las guías pública EN/ES de Eviction Solidarity Network el 2026-08-10. Revisar los datos y la fuente oficial antes de publicar."
"Austin Public Health","Asistencia de los Centros de Servicios Vecinales","Neighborhood Services Centers assistance","Centros que brindan asistencia de emergencia para alquiler, servicios públicos, ropa, fórmula y alimentos a familias necesitadas de ingresos bajos y moderados. Para recibir asistencia, las facturas deben estar vencidas y se debe proporcionar prueba de crisis/problemas financieros recientes. Todas…","The Neighborhood Centers provide emergency rent, utility, clothing, formula and food assistance to low-and moderate-income families in need. To receive assistance, bills must be past due and proof of recent crisis/financial trouble must be provided. All requests must go through the rent line (512)…","Centros que brindan asistencia de emergencia para alquiler, servicios públicos, ropa, fórmula y alimentos a familias necesitadas de ingresos bajos y moderados. Para recibir asistencia, las facturas deben estar vencidas y se debe proporcionar prueba de crisis/problemas financieros recientes. Todas las solicitudes deben pasar por la línea de alquiler (512) 972-5780. Visite su sitio web para encontrar el centro más cercano a usted. https://austintexas.gov/services/get-help-neighborhood-centers?1743455693701","The Neighborhood Centers provide emergency rent, utility, clothing, formula and food assistance to low-and moderate-income families in need. To receive assistance, bills must be past due and proof of recent crisis/financial trouble must be provided. All requests must go through the rent line (512) 972-5780. Please visit their website to find the center nearest you. austintexas.gov/department/neighborhood-centers","austin-public-health-neighborhood-services-centers-assistance","vivienda","recursos-financieros","Asistencia de los Centros de Servicios Vecinales|Austin Public Health","Neighborhood Services Centers assistance|Austin Public Health","es|en","phone|online","unknown","","","","","Comunícate con la organización para confirmar disponibilidad, requisitos y cómo solicitar el servicio.","Contact the organization to confirm availability, requirements, and how to request the service.","","","","","Austin y comunidades cercanas del Centro de Texas","Austin and surrounding Central Texas communities","512-972-5780","","","","https://www.austintexas.gov/department/neighborhood-centers","","","","TX","","","","","https://www.austintexas.gov/department/neighborhood-centers","false","false","","Consolidado de las guías pública EN/ES de Eviction Solidarity Network el 2026-08-10. Revisar los datos y la fuente oficial antes de publicar."
