primary_category,organization_name,title_es,title_en,cost_type,service_methods,phone,service_area_es,source_url,summary_es,summary_en,address_line_1,address_line_2,city,state,postal_code,county,website_url
comida,Central Texas Food Bank,Encuentra alimentos cerca de ti,Find Food Near You,free,online|phone|in_person,855-366-3401,"Austin, Travis County y la región de Central Texas.",https://www.centraltexasfoodbank.org/find-food-now,"Busca despensas, distribuciones móviles y otros programas de alimentos cercanos ingresando tu código postal.","Search for nearby food pantries, mobile distributions, and other food programs by entering your ZIP code.",,,,,,,https://www.centraltexasfoodbank.org/
comida,El Buen Samaritano,Despensa de alimentos y distribución de pañales,Food Pantry and Diaper Distribution,free,in_person|phone,512-439-8900,Austin y Central Texas.,https://elbuen.org/wellness/food-pantry/,Recibe alimentos nutritivos de emergencia sin cita y consulta las fechas de distribución mensual de pañales.,Receive nutritious emergency food without an appointment and check the dates for monthly diaper distribution.,7000 Woodhue Drive,,Austin,TX,78745,Travis,https://elbuen.org/
comida,Austin Baptist Chapel,Comidas calientes y duchas en Angel House,Hot Meals and Showers at Angel House,free,in_person|phone,512-643-2327,Austin y personas que puedan llegar a la ubicación del centro.,https://www.austinbaptistchapel.com/need-help.html,Angel House ofrece comidas calientes y acceso a duchas para personas que necesitan apoyo básico en Austin.,Angel House provides hot meals and access to showers for people who need basic support in Austin.,908 E Cesar Chavez St,,Austin,TX,78702,Travis,https://www.austinbaptistchapel.com/
vivienda,Foundation Communities,Vivienda asequible y apoyo para familias,Affordable Housing and Family Support,paid,online|phone|in_person,512-610-7392,Austin y otras ubicaciones de Central Texas.,https://foundcom.org/housing/get-started/,"Explora apartamentos y viviendas asequibles con servicios de apoyo en educación, salud y bienestar financiero.","Explore affordable apartments and housing with support services in education, health, and financial wellness.",,,,,,,https://foundcom.org/
vivienda,City of Austin Housing Department,Buscador de vivienda asequible de Austin,Austin Affordable Housing Search Tool,free,online,,Ciudad de Austin.,https://www.austintexas.gov/housing/programs/affordable-housing-online-search-tool-ahost,Busca alquileres con ingresos restringidos según el tamaño y los ingresos de tu hogar en la ciudad de Austin.,Search income-restricted rentals based on your household size and income within the City of Austin.,,,,,,,https://www.austintexas.gov/housing
vivienda,Housing Authority of the City of Austin,Vivienda pública y subsidiada,Public and Subsidized Housing,sliding_scale,online|phone|in_person,512-477-4488,Ciudad de Austin y programas administrados por HACA.,https://www.hacanet.org/residents/prospective-resident/,"Consulta opciones de vivienda pública, listas de espera y el proceso de solicitud administrado por HACA.","Review public housing options, waiting lists, and the application process administered by HACA.",1124 S IH-35,,Austin,TX,78704,Travis,https://www.hacanet.org/
salud,CommUnityCare Health Centers,Atención médica primaria y especializada,Primary and Specialty Health Care,sliding_scale,in_person|phone|online,512-978-9015,"Austin, Travis County y comunidades cercanas.",https://communitycaretx.org/,Accede a atención médica centrada en el paciente sin importar tu seguro o capacidad para pagar.,Access patient-centered health care regardless of insurance status or ability to pay.,,,,,,,https://communitycaretx.org/
salud,People's Community Clinic,Atención médica familiar de bajo costo,Affordable Family Health Care,sliding_scale,in_person|phone|online,512-478-4939,Austin y Central Texas.,https://www.austinpcc.org/,"Obtén atención médica asequible para bebés, niños y adultos, con opciones de escala variable.","Get affordable health care for babies, children, and adults, with sliding-fee options available.",1101 Camino La Costa,,Austin,TX,78752,Travis,https://www.austinpcc.org/
salud,Lone Star Circle of Care,Clínica de salud Ben White,Ben White Health Clinic,sliding_scale,in_person|phone|online,877-800-5722,Austin y comunidades atendidas por Lone Star Circle of Care.,https://lonestarcares.org/location/ben-white-health-clinic-family-medicine/,"La clínica Ben White ofrece medicina familiar, salud conductual y visitas virtuales en el sur de Austin.","The Ben White clinic offers family medicine, behavioral health, and virtual visits in South Austin.",1221 W Ben White Blvd,"Building B, Suite 100 & Suite 200",Austin,TX,78704,Travis,https://lonestarcares.org/
transporte,CapMetro,Tarifas reducidas Equifare,Equifare Discounted Transit Fares,paid,online|phone|in_person,512-474-1200,Área de servicio de CapMetro en Austin y comunidades cercanas.,https://www.capmetro.org/fare/general-fares-overview/equifare,Solicita tarifas de transporte con descuento si cumples los requisitos de ingresos o participas en programas elegibles.,Apply for discounted transit fares if you meet income requirements or participate in qualifying programs.,1705 Guadalupe St,CapMetro Transit Store,Austin,TX,78701,Travis,https://www.capmetro.org/
transporte,Capital Area Rural Transportation System (CARTS),Transporte rural y regional en Travis County,Rural and Regional Transportation in Travis County,paid,phone|in_person,512-478-7433,Travis County rural y la región atendida por CARTS.,https://www.ridecarts.com/route/carts-country-bus-travis/,Reserva transporte de acera a acera en zonas rurales de Travis County por teléfono o mediante la aplicación de CARTS.,Book curb-to-curb transportation in rural Travis County by phone or through the CARTS app.,,,,,,,https://www.ridecarts.com/
transporte,Drive a Senior,Transporte gratuito para adultos mayores,Free Transportation for Older Adults,free,phone|online|in_person,512-472-6339,Travis County y otras partes de Central Texas; el número de contacto depende del área.,https://driveasenior.org/,"Adultos mayores elegibles pueden recibir viajes gratuitos para citas médicas, compras y otras actividades esenciales.","Eligible older adults can receive free rides for medical appointments, shopping, and other essential activities.",,,,,,,https://driveasenior.org/
recursos-financieros,Foundation Communities,Asesoría financiera y apoyo con beneficios,Financial Coaching and Benefits Support,free,in_person|online|phone,,Austin y Central Texas.,https://foundcom.org/prosper-centers/,"Recibe asesoría financiera gratuita para presupuesto, crédito, deudas, ahorros y solicitudes de beneficios públicos.","Get free financial coaching for budgeting, credit, debt, savings, and public-benefit applications.",,,,,,,https://foundcom.org/
recursos-financieros,City of Austin Utilities / Austin Energy,Descuentos y ayuda con servicios públicos,Utility Discounts and Emergency Assistance,free,online|phone|in_person,512-494-9400,Clientes elegibles de City of Austin Utilities.,https://austinenergy.com/about/news/news-releases/2025/City-of-Austin-Utilities-steps-up--to-aid-those-affected-by-the-government-shutdown,"Clientes elegibles pueden solicitar descuentos mensuales, arreglos de pago y ayuda financiera de emergencia para servicios públicos.","Eligible customers can request monthly discounts, payment arrangements, and emergency financial help for utility services.",,,,,,,https://austinenergy.com/
recursos-financieros,Travis County Health and Human Services,Ayuda para pagar servicios públicos,Utility Payment Assistance,free,online|phone|in_person,512-854-4116,Travis County.,https://www.traviscountytx.gov/health-human-services/apply-for-assistance/utility-assistance,Solicita ayuda del condado para pagar facturas de servicios públicos si tu hogar cumple los requisitos del programa.,Apply for county assistance with utility bills if your household meets the program requirements.,,,,,,,https://www.traviscountytx.gov/health-human-services
educacion,Austin Community College District,"Clases de inglés, GED y capacitación laboral","English, GED, and Career Training Programs",free,in_person|online|phone,512-223-7000,Austin y el distrito de Austin Community College.,https://adulted.austincc.edu/,"Encuentra educación para adultos, preparación para GED, clases de inglés y capacitación para avanzar laboralmente.","Find adult education, GED preparation, English classes, and training to help you advance at work.",,,,,,,https://www.austincc.edu/
educacion,Literacy Coalition of Central Texas,Educación para adultos y preparación laboral,Adult Education and Career Preparation,free,in_person|online|phone,512-326-8655,Travis County y Central Texas.,https://literacyctx.org/,"Conéctate con clases presenciales o en línea de GED, inglés y preparación profesional de bajo o ningún costo.","Connect with low- or no-cost in-person or online GED, English, and career-preparation classes.",,,,,,,https://literacyctx.org/
educacion,El Buen Samaritano,Clases de inglés y alfabetización digital,English and Digital Literacy Classes,free,in_person|online|phone,512-439-8900,Austin y Central Texas.,https://elbuen.org/adult-education-services/,Fortalece tus habilidades de inglés y tecnología mediante los programas de educación para adultos de El Buen Samaritano.,Build English and technology skills through El Buen Samaritano's adult education programs.,7000 Woodhue Drive,,Austin,TX,78745,Travis,https://elbuen.org/
ayuda-legal,Texas RioGrande Legal Aid,Asistencia legal civil gratuita,Free Civil Legal Aid,free,phone|online,833-329-8752,Travis County y otros condados atendidos por TRLA.,https://www.trla.org/get-help,"Solicita orientación o representación legal civil gratuita para asuntos como vivienda, familia, empleo y beneficios públicos.","Apply for free civil legal advice or representation for matters such as housing, family, employment, and public benefits.",,,,,,,https://www.trla.org/
ayuda-legal,Volunteer Legal Services of Central Texas,Ayuda legal civil con abogados voluntarios,Civil Legal Help from Volunteer Attorneys,free,online|phone,512-476-5550,"Austin, Travis County y Central Texas según el tipo de caso.",https://www.vlsoct.org/get-help/,"Solicita evaluación para recibir asesoría o representación civil de abogados voluntarios, según elegibilidad y capacidad.","Apply for screening for civil legal advice or representation from volunteer attorneys, based on eligibility and capacity.",,,,,,,https://www.vlsoct.org/
ayuda-legal,American Gateways,Servicios legales de inmigración,Immigration Legal Services,free,phone|online|in_person,512-478-0546 ext. 200,"Austin, Travis County y comunidades atendidas por American Gateways.",https://www.americangateways.org/get-help,Solicita orientación y servicios legales de inmigración para conocer las opciones disponibles según tu situación.,Request immigration legal guidance and services to learn what options may be available for your situation.,314 E Highland Mall Blvd,Suite 501,Austin,TX,78752,Travis,https://www.americangateways.org/
otros-recursos,2-1-1 Texas,Orientación para encontrar ayuda local,Help Finding Local Resources,free,phone|online,2-1-1 / 877-541-7905,"Todo Texas, incluyendo Austin y Travis County.",https://www.211texas.org/,"Busca servicios locales de alimentos, vivienda, salud, transporte y otras necesidades llamando al 2-1-1 o en línea.","Find local food, housing, health, transportation, and other services by calling 2-1-1 or searching online.",,,,,,,https://www.211texas.org/
otros-recursos,The SAFE Alliance,Línea confidencial 24/7 para violencia y abuso,24/7 Confidential Support for Violence and Abuse,free,phone|online,512-267-7233,"Austin, Travis County y Central Texas.",https://www.safeaustin.org/get-help/,"La SAFEline confidencial ofrece apoyo las 24 horas a personas afectadas por violencia doméstica, agresión sexual, trata o abuso infantil.","The confidential SAFEline offers 24-hour support for people affected by domestic violence, sexual assault, trafficking, or child abuse.",,,,,,,https://www.safeaustin.org/
otros-recursos,Any Baby Can,Apoyo integral para familias con niños,Whole-Family Support for Families with Children,free,online|phone|in_person|home_visit,512-454-3743,"Austin, Travis County y partes de Central Texas según el programa.",https://anybabycan.org/,"Familias con niños pueden recibir orientación personalizada, apoyo para la crianza, salud mental y conexión con recursos prácticos.","Families with children can receive personalized guidance, parenting support, mental health help, and connections to practical resources.",6207 Sheridan Ave,,Austin,TX,78723,Travis,https://anybabycan.org/
