"organization_name","title_es","title_en","summary_es","summary_en","description_es","description_en","slug","primary_category","additional_categories","keywords_es","keywords_en","languages","service_methods","cost_type","eligibility_es","eligibility_en","required_documents_es","required_documents_en","application_steps_es","application_steps_en","hours_es","hours_en","accessibility_notes_es","accessibility_notes_en","service_area_es","service_area_en","phone","sms_phone","whatsapp_phone","email","website_url","address_line_1","address_line_2","city","state","postal_code","county","latitude","longitude","source_url","is_featured","is_emergency","last_verified_at","verification_notes"
"Con Mi Madre","Apoyo comunitario para personas y familias","Community support for individuals and families","En Con Mi MADRE, brindamos un conjunto integral de servicios diseñados para empoderar tanto a los cuidadores como a las hijas en su viaje educativo: Apoyo académico bilingüe: ofrece asistencia tanto en inglés como en español en diversas materias, garantizando que el idioma no sea una barrera para la educación. Talleres culturalmente relevantes: sesiones cuidadosamente diseñadas...","At Con Mi MADRE, we provide a comprehensive suite of services designed to empower both caregivers and daughters on their educational journey: Bilingual Academic Support: Offering assistance in both English and Spanish across various subjects, ensuring language isn't a barrier to education.  Culturally Relevant Workshops: Thoughtfully crafted sessions…","En Con Mi MADRE, brindamos un conjunto integral de servicios diseñados para empoderar tanto a los cuidadores como a las hijas en su viaje educativo: Apoyo académico bilingüe: ofrece asistencia tanto en inglés como en español en diversas materias, garantizando que el idioma no sea una barrera para la educación. Talleres culturalmente relevantes: sesiones cuidadosamente diseñadas que abordan la identidad cultural, la navegación educativa y otros temas relevantes adaptados a diversos orígenes. Orientación universitaria y profesional: orientar a las mujeres jóvenes y a sus cuidadores a través de solicitudes universitarias, búsqueda de becas y exploración profesional a través de talleres y tutorías individuales. Talleres de bienestar emocional: centrados en desarrollar resiliencia, autoestima y habilidades de comunicación efectiva para apoyar el crecimiento personal. Programa de empoderamiento de los padres: Equipar a las madres con habilidades académicas, profesionales y de liderazgo para crear efectos positivos en el éxito de sus hijos y de la comunidad en general. Programación durante todo el año: apoyo continuo a través de reuniones regulares en el campus, conferencias y viajes universitarios, fomentando la creación de redes, el aprendizaje y la construcción de comunidades. Con Mi MADRE se esfuerza por brindar un sistema de apoyo integral, fomentando el crecimiento general y el éxito tanto de madres como de hijas.","At Con Mi MADRE, we provide a comprehensive suite of services designed to empower both caregivers and daughters on their educational journey: Bilingual Academic Support: Offering assistance in both English and Spanish across various subjects, ensuring language isn't a barrier to education. Culturally Relevant Workshops: Thoughtfully crafted sessions addressing cultural identity, educational navigation, and other relevant topics tailored to diverse backgrounds. College and Career Guidance: Guiding young women and their caregivers through college applications, scholarship searches, and career exploration via workshops and one-on-one mentoring. Emotional Well-being Workshops: Focusing on building resilience, self-esteem, and effective communication skills to support personal growth. Parent Empowerment Program: Equipping mothers with academic, professional, and leadership skills to create positive ripple effects in their children's success and the broader community. Year-round Programming: Continuous support through regular campus meetings, conferences, and college trips, fostering networking, learning, and community building. Con Mi MADRE strives to provide a holistic support system, nurturing the overall growth and success of both mothers and daughters.","con-mi-madre-community-support-for-individuals-and-families","otros-recursos","educacion","Apoyo comunitario para personas y familias|Con Mi Madre","Community support for individuals and families|Con Mi Madre","es|en","in_person","unknown","","","","","Comunícate con la organización para confirmar disponibilidad, requisitos y cómo solicitar el servicio.","Contact the organization to confirm availability, requirements and how to request the service.","","","","","Austin, Georgetown, Round Rock, Pflugerville, Condado de Travis, Condado de Williamson, Condado de Bastrop, Condado de Hays, Condado de Caldwell, Condado de Blanco, Condado de Burnet, Otras áreas","Austin, Georgetown, Round Rock, Pflugerville, Travis County, Williamson County, Bastrop County, Hays County, Caldwell County, Blanco County, Burnet County, Other","512-467-4483","","","info@conmimadre.org","https://www.conmimadre.org/","","","","TX","","","","","https://www.conmimadre.org/","false","false","","Convertido de “Complete Family Resource Guide List.xlsx”, fila 7, el 2026-08-10. Revisar datos y fuente oficial antes de publicar."
"Todos Juntos Learning Center","Apoyo comunitario para personas y familias","Community support for individuals and families","Educación para adultos: clases gratuitas de ESL, preparación para el trabajo y clases de computación. Clases de educación infantil para niños de 1 a 5 años en una guardería autorizada.","Adult Education: Free ESL classes, workforce readiness and computer classes.  Early childhood education classes for children 1-5 years old in onsite licensed childcare center.","Educación para adultos: clases gratuitas de ESL, preparación para el trabajo y clases de computación. Clases de educación infantil para niños de 1 a 5 años en una guardería autorizada. Educación familiar, apoyo de pares, aumento de la capacidad de los padres, administración de casos, referencias, asistencia financiera de emergencia para estudiantes elegibles. Todos los servicios se brindan en el lugar en la ubicación del sur de Austin.","Adult Education: Free ESL classes, workforce readiness and computer classes. Early childhood education classes for children 1-5 years old in onsite licensed childcare center. Family education, peer support, increasing parent's capacity, case management, referrals, emergency financial assistance for eligible students. All services provided onsite at South Austin location.","todos-juntos-learning-center-community-support-for-individuals-and-families","otros-recursos","educacion","Apoyo comunitario para personas y familias|Todos Juntos Learning Center","Community support for individuals and families|Todos Juntos Learning Center","es|en","in_person","free","","","","","Comunícate con la organización para confirmar disponibilidad, requisitos y cómo solicitar el servicio.","Contact the organization to confirm availability, requirements and how to request the service.","","","","","Austin, Georgetown, Round Rock, Pflugerville, Condado de Travis, Condado de Williamson, Condado de Bastrop, Condado de Hays, Condado de Caldwell, Condado de Blanco, Condado de Burnet, Otras áreas","Austin, Georgetown, Round Rock, Pflugerville, Travis County, Williamson County, Bastrop County, Hays County, Caldwell County, Blanco County, Burnet County, Other","512-788-7255","","","info@todosjuntoslc.org","http://todosjuntoslc.org","","","","TX","","","","","http://todosjuntoslc.org","false","false","","Convertido de “Complete Family Resource Guide List.xlsx”, fila 8, el 2026-08-10. Revisar datos y fuente oficial antes de publicar."
"CARY (Council on At Risk Youth)","Programas educativos y apoyo al aprendizaje","Education and learning support programs","Somos un programa escolar que brinda apoyo grupal e individual a los estudiantes, utilizando un plan de estudios basado en evidencia, que aborda el manejo de la ira, las habilidades sociales y la formación del carácter.","We are a school-based program that provides group and individual support to students, utilizing an evidence based curriculum, that addresses anger management, social skills, and character building.","Somos un programa escolar que brinda apoyo grupal e individual a los estudiantes, utilizando un plan de estudios basado en evidencia, que aborda el manejo de la ira, las habilidades sociales y la formación del carácter.","We are a school-based program that provides group and individual support to students, utilizing an evidence based curriculum, that addresses anger management, social skills, and character building.","cary-council-on-at-risk-youth-education-and-learning-support-programs","educacion","","Programas educativos y apoyo al aprendizaje|CARY (Council on At Risk Youth)","Education and learning support programs|CARY (Council on At Risk Youth)","en","in_person","unknown","","","","","Comunícate con la organización para confirmar disponibilidad, requisitos y cómo solicitar el servicio.","Contact the organization to confirm availability, requirements and how to request the service.","","","","","Austin, Condado de Travis","Austin, Travis County","512-451-4592","","","info@cary4kids.org","http://www.cary4kids.org","","","","TX","","","","","http://www.cary4kids.org","false","false","","Convertido de “Complete Family Resource Guide List.xlsx”, fila 9, el 2026-08-10. Revisar datos y fuente oficial antes de publicar."
"Autism Society of Texas","Apoyo comunitario para personas y familias","Community support for individuals and families","AST ofrece apoyo y recursos a través de su programa Navigating Autism; grupos de apoyo para padres y cuidadores; eventos educativos en línea; grupos sociales para personas autistas; y esfuerzos de promoción a nivel estatal.","AST offers support and resources through its Navigating Autism program; support groups for parents and caregivers; educational events online; social groups for Autistic individuals; and advocacy efforts at the State level.","AST ofrece apoyo y recursos a través de su programa Navigating Autism; grupos de apoyo para padres y cuidadores; eventos educativos en línea; grupos sociales para personas autistas; y esfuerzos de promoción a nivel estatal.","AST offers support and resources through its Navigating Autism program; support groups for parents and caregivers; educational events online; social groups for Autistic individuals; and advocacy efforts at the State level.","autism-society-of-texas-community-support-for-individuals-and-families","otros-recursos","educacion","Apoyo comunitario para personas y familias|Autism Society of Texas","Community support for individuals and families|Autism Society of Texas","en","in_person|online","unknown","","","","","Comunícate con la organización para confirmar disponibilidad, requisitos y cómo solicitar el servicio.","Contact the organization to confirm availability, requirements and how to request the service.","","","","","Austin, Georgetown, Round Rock, Pflugerville, Condado de Travis, Condado de Williamson, Condado de Bastrop, Condado de Hays, Condado de Caldwell, Condado de Blanco, Condado de Burnet, Otras áreas","Austin, Georgetown, Round Rock, Pflugerville, Travis County, Williamson County, Bastrop County, Hays County, Caldwell County, Blanco County, Burnet County, Other","512-479-4199","","","info@texasautismsociety.org","http://www.texasautismsociety.org","","","","TX","","","","","http://www.texasautismsociety.org","false","false","","Convertido de “Complete Family Resource Guide List.xlsx”, fila 10, el 2026-08-10. Revisar datos y fuente oficial antes de publicar."
"Colin's Hope","Apoyo comunitario para personas y familias","Community support for individuals and families","Educación sobre seguridad en el agua para familias para garantizar que los niños estén más seguros cerca del agua. Nuestro sitio web bilingüe gratuito: www.","Water safety education for families to ensure children are safer around water.  Our free, bilingual website: www.","Educación sobre seguridad en el agua para familias para garantizar que los niños estén más seguros cerca del agua. Nuestro sitio web bilingüe gratuito: www.drowningispreventable.org tiene lecciones para educar a los niños a usar un chaleco salvavidas y esperar a un adulto antes de dirigirse a la piscina, lago u otra masa de agua. ¡Sabemos que juntos podemos salvar vidas!","Water safety education for families to ensure children are safer around water. Our free, bilingual website: www.drowningispreventable.org has lessons to educate children to wear a life jacket and wait for a grownup before heading to the pool, lake, or other body of water. We know that together, we can save lives!","colin-s-hope-community-support-for-individuals-and-families","otros-recursos","educacion","Apoyo comunitario para personas y familias|Colin's Hope","Community support for individuals and families|Colin's Hope","en","online","free","","","","","Comunícate con la organización para confirmar disponibilidad, requisitos y cómo solicitar el servicio.","Contact the organization to confirm availability, requirements and how to request the service.","","","","","Georgetown, Round Rock, Pflugerville, Condado de Travis, Condado de Williamson, Condado de Bastrop, Condado de Hays, Condado de Burnet, Austin","Georgetown, Round Rock, Pflugerville, Travis County, Williamson County, Bastrop County, Hays County, Burnet County, Austin","512-720-1778","","","info@colinshope.org","http://www.colinshope.org/","","","","TX","","","","","http://www.colinshope.org/","false","false","","Convertido de “Complete Family Resource Guide List.xlsx”, fila 11, el 2026-08-10. Revisar datos y fuente oficial antes de publicar."
"Live Like Cati","Apoyo comunitario para personas y familias","Community support for individuals and families","Nuestra organización sin fines de lucro proporciona chalecos salvavidas sin costo a los niños que no saben nadar y están inscritos en un campamento de verano. Brindamos capacitación sobre seguridad en el agua al personal de cuidado infantil en todo el estado.","Our non profit provides life jackets at no cost to children who can not swim and are enrolled in a summer camp.  We provide child care staff water safety training across the state.","Nuestra organización sin fines de lucro proporciona chalecos salvavidas sin costo a los niños que no saben nadar y están inscritos en un campamento de verano. Brindamos capacitación sobre seguridad en el agua al personal de cuidado infantil en todo el estado.","Our non profit provides life jackets at no cost to children who can not swim and are enrolled in a summer camp. We provide child care staff water safety training across the state.","live-like-cati-community-support-for-individuals-and-families","otros-recursos","educacion","Apoyo comunitario para personas y familias|Live Like Cati","Community support for individuals and families|Live Like Cati","en","in_person","free","","","","","Comunícate con la organización para confirmar disponibilidad, requisitos y cómo solicitar el servicio.","Contact the organization to confirm availability, requirements and how to request the service.","","","","","Austin, Georgetown, Round Rock, Pflugerville, Condado de Travis, Condado de Williamson, Condado de Bastrop, Condado de Hays, Condado de Caldwell, Condado de Blanco, Condado de Burnet, Otras áreas","Austin, Georgetown, Round Rock, Pflugerville, Travis County, Williamson County, Bastrop County, Hays County, Caldwell County, Blanco County, Burnet County, Other","512-947-0356","","","kori@livelikecati.org","http://www.livelikecati.org","","","","TX","","","","","http://www.livelikecati.org","false","false","","Convertido de “Complete Family Resource Guide List.xlsx”, fila 12, el 2026-08-10. Revisar datos y fuente oficial antes de publicar."
"Partnerships for Children","Apoyo comunitario para personas y familias","Community support for individuals and families","Mentoría tradicional (sin límite de edad) Mentoría musical Rainbow Room (recursos para aquellos con un número de caso) Heart Gallery (concientización sobre la adopción) Foster Community (apoyo a las comunidades, fortalecimiento de las familias)","Traditional Mentoring (no age limit) Music Mentoring Rainbow Room (resources for those with a case number) Heart Gallery (adoption awareness) Foster Community (supporting communities, strengthening families)","Mentoría tradicional (sin límite de edad) Mentoría musical Rainbow Room (recursos para aquellos con un número de caso) Heart Gallery (concientización sobre la adopción) Foster Community (apoyo a las comunidades, fortalecimiento de las familias)","Traditional Mentoring (no age limit)  Music Mentoring  Rainbow Room (resources for those with a case number)  Heart Gallery (adoption awareness)  Foster Community (supporting communities, strengthening families)","partnerships-for-children-community-support-for-individuals-and-families","otros-recursos","educacion","Apoyo comunitario para personas y familias|Partnerships for Children","Community support for individuals and families|Partnerships for Children","en","in_person","unknown","","","","","Comunícate con la organización para confirmar disponibilidad, requisitos y cómo solicitar el servicio.","Contact the organization to confirm availability, requirements and how to request the service.","","","","","Austin, Georgetown, Round Rock, Pflugerville, Condado de Travis, Condado de Williamson, Condado de Bastrop, Condado de Hays, Condado de Caldwell, Condado de Blanco, Condado de Burnet, Otras áreas","Austin, Georgetown, Round Rock, Pflugerville, Travis County, Williamson County, Bastrop County, Hays County, Caldwell County, Blanco County, Burnet County, Other","512-834-4756","","","info@partnershipsforchildren.org","https://partnershipsforchildren.org","","","","TX","","","","","https://partnershipsforchildren.org","false","false","","Convertido de “Complete Family Resource Guide List.xlsx”, fila 13, el 2026-08-10. Revisar datos y fuente oficial antes de publicar."
"Austin Angels","Apoyo para jóvenes y familias de cuidado temporal","Support for foster youth and families","Austin Angels brinda apoyo mensual constante a familias con al menos un niño en cuidado de crianza en su hogar, así como también ofrece un programa de tutoría para jóvenes bajo cuidado o jóvenes que recientemente han superado la edad (de 11 a 22 años).","Austin Angels provides consistent monthly support to families with at least one child in foster care in their home as well as provides a mentoring program for youth in care or youth who have recently aged out (11 - 22 years old).","Austin Angels brinda apoyo mensual constante a familias con al menos un niño en cuidado de crianza en su hogar, así como también ofrece un programa de tutoría para jóvenes bajo cuidado o jóvenes que recientemente han superado la edad (de 11 a 22 años).","Austin Angels provides consistent monthly support to families with at least one child in foster care in their home as well as provides a mentoring program for youth in care or youth who have recently aged out (11 - 22 years old).","austin-angels-support-for-foster-youth-and-families","otros-recursos","salud","Apoyo para jóvenes y familias de cuidado temporal|Austin Angels","Support for foster youth and families|Austin Angels","en","home_visit","unknown","","","","","Comunícate con la organización para confirmar disponibilidad, requisitos y cómo solicitar el servicio.","Contact the organization to confirm availability, requirements and how to request the service.","","","","","Austin, Georgetown, Round Rock, Pflugerville, Condado de Travis, Condado de Williamson, Condado de Hays","Austin, Georgetown, Round Rock, Pflugerville, Travis County, Williamson County, Hays County","512-387-4307","","","hannah@austinangels.com","http://austinangels.com","","","","TX","","","","","http://austinangels.com","false","false","","Convertido de “Complete Family Resource Guide List.xlsx”, fila 14, el 2026-08-10. Revisar datos y fuente oficial antes de publicar."
"Foster Angels of Central Texas","Apoyo para jóvenes y familias de cuidado temporal","Support for foster youth and families","Proporcionar necesidades básicas y oportunidades para mejorar la vida de niños y jóvenes en hogares de crianza.","Providing basic needs and life-enhancing opportunities to children and youth in foster care.","Proporcionar necesidades básicas y oportunidades para mejorar la vida de niños y jóvenes en hogares de crianza.","Providing basic needs and life-enhancing opportunities to children and youth in foster care.","foster-angels-of-central-texas-support-for-foster-youth-and-families","otros-recursos","salud","Apoyo para jóvenes y familias de cuidado temporal|Foster Angels of Central Texas","Support for foster youth and families|Foster Angels of Central Texas","en","in_person","unknown","","","","","Comunícate con la organización para confirmar disponibilidad, requisitos y cómo solicitar el servicio.","Contact the organization to confirm availability, requirements and how to request the service.","","","","","Austin, Georgetown, Round Rock, Pflugerville, Condado de Travis, Condado de Williamson, Condado de Bastrop, Condado de Hays, Condado de Caldwell, Condado de Blanco, Condado de Burnet","Austin, Georgetown, Round Rock, Pflugerville, Travis County, Williamson County, Bastrop County, Hays County, Caldwell County, Blanco County, Burnet County","512-732-2329","","","info@fosterangelsctx.org","http://fosterangelsctx.org","","","","TX","","","","","http://fosterangelsctx.org","false","false","","Convertido de “Complete Family Resource Guide List.xlsx”, fila 15, el 2026-08-10. Revisar datos y fuente oficial antes de publicar."
"Foster Village","Apoyo para jóvenes y familias de cuidado temporal","Support for foster youth and families","Creamos una aldea de apoyo en torno a los cuidadores equipándolos con recursos críticos, conectando a las familias con una comunidad sustentadora y abogando por la comunidad más allá del sistema. A través de nuestros dos centros de recursos hogareños, equipamos a las familias con artículos esenciales en el momento de la colocación (y durante las transiciones de la colocación) y luego brindamos...","We wrap a village of support around caregivers by equipping them with critical resources, connecting families to a sustaining community, and advocating for community beyond the system.  Through our two home-like resource centers, we equip families with essential items at the time of placement (and during transitions of placement) and then provide…","Creamos una aldea de apoyo en torno a los cuidadores equipándolos con recursos críticos, conectando a las familias con una comunidad sustentadora y abogando por la comunidad más allá del sistema. A través de nuestros dos centros de recursos hogareños, equipamos a las familias con artículos esenciales en el momento de la colocación (y durante las transiciones de la colocación) y luego brindamos apoyo continuo a través de la participación en nuestros programas y reuniones. El Proyecto SOOTHe es para que los cuidadores aprendan a apoyar las necesidades de procesamiento sensorial de sus hijos y las suyas propias. El Programa de Apoyo Terapéutico brinda apoyo individualizado y nuestro Programa Socios en Permanencia ayuda a las familias a crear una permanencia segura y estable después de la reunificación al construir relaciones entre los padres biológicos y los padres de crianza para que puedan trabajar juntos para cuidar a los niños que todos aman. Únase a nosotros en una de nuestras reuniones de apoyo semestrales, citas de juego sensorial o eventos para conectarse durante todo el año. Nuestras reuniones y programación también están abiertas a familias adoptivas. Sabemos que la necesidad de apoyo continuo no termina con la permanencia.","We wrap a village of support around caregivers by equipping them with critical resources, connecting families to a sustaining community, and advocating for community beyond the system.  Through our two home-like resource centers, we equip families with essential items at the time of placement (and during transitions of placement) and then provide on-going support through engagement with our programs and gatherings.  Project SOOTHe is for caregivers learning to support their child’s sensory processing needs as well as their own. Therapeutic Support Program provides individualized support and our Partners in Permanency Program helps families create safe and stable permanency after reunification by building relationships between birth parents and foster parents so they can work together to care for the children they all love. Join us at one of our six monthly support gatherings, sensory play dates, or events for connection throughout the year. Our gatherings and programming are open to adoptive families as well. We know the need for on-going support does not end at permanency.","foster-village-support-for-foster-youth-and-families","otros-recursos","salud","Apoyo para jóvenes y familias de cuidado temporal|Foster Village","Support for foster youth and families|Foster Village","en","in_person","unknown","","","","","Comunícate con la organización para confirmar disponibilidad, requisitos y cómo solicitar el servicio.","Contact the organization to confirm availability, requirements and how to request the service.","","","","","Austin, Georgetown, Round Rock, Pflugerville, Condado de Travis, Condado de Williamson, Condado de Bastrop, Condado de Hays, Condado de Caldwell, Condado de Blanco, Condado de Burnet","Austin, Georgetown, Round Rock, Pflugerville, Travis County, Williamson County, Bastrop County, Hays County, Caldwell County, Blanco County, Burnet County","512-599-4144","","","info@fostervillageaustin.org","http://www.fostervillageaustin.org","","","","TX","","","","","http://www.fostervillageaustin.org","false","false","","Convertido de “Complete Family Resource Guide List.xlsx”, fila 16, el 2026-08-10. Revisar datos y fuente oficial antes de publicar."
