organization_name,title_es,title_en,summary_es,summary_en,description_es,description_en,slug,primary_category,additional_categories,keywords_es,keywords_en,languages,service_methods,cost_type,eligibility_es,eligibility_en,required_documents_es,required_documents_en,application_steps_es,application_steps_en,hours_es,hours_en,accessibility_notes_es,accessibility_notes_en,service_area_es,service_area_en,phone,sms_phone,whatsapp_phone,email,website_url,address_line_1,address_line_2,city,state,postal_code,county,latitude,longitude,source_url,is_featured,is_emergency,last_verified_at,verification_notes
"Bluebonnet Trails Community Services","Servicios de Consumo de Sustancias de Bluebonnet Trails","Bluebonnet Trails Substance Use Services","Punto de entrada integral para evaluación, tratamiento ambulatorio, recuperación, MAT, prevención y referidos relacionados con consumo de sustancias.","A comprehensive starting point for screening, assessment, outpatient treatment, recovery, MAT, prevention, and substance-use referrals.","Uno de los mejores puntos de entrada para personas que no saben qué tipo de ayuda necesitan. Ofrece screening y evaluación, referidos, tratamiento ambulatorio, servicios de recuperación, tratamiento asistido con medicamentos (MAT) y prevención. También ofrece servicios específicos para jóvenes y programas relacionados con el sistema de justicia.","One of the strongest starting points for people who are unsure what type of help they need. Services include screening and assessment, referrals, outpatient treatment, recovery services, medication-assisted treatment (MAT), and prevention. It also provides youth-specific services and programs related to the justice system.","bluebonnet-trails-substance-use-services","salud","","consumo de sustancias|evaluación|tratamiento|recuperación|jóvenes|MAT|familia|bajo costo","substance use|assessment|treatment|recovery|youth|MAT|family|low cost","es|en","in_person","free","El costo y algunos servicios dependen de la elegibilidad. Comuníquese con el proveedor para confirmar.","Cost and some services depend on eligibility. Contact the provider to confirm.","","","Llame al proveedor para evaluación, orientación y próximos pasos.","Call the provider for screening, guidance, and next steps.","","","","","Williamson County y áreas atendidas por Bluebonnet Trails.","Williamson County and other areas served by Bluebonnet Trails.","844-309-6385","","","","https://bbtrails.org/substance-use-services/","1009 N. Georgetown St.","","Round Rock","TX","78664","Williamson","","","https://bbtrails.org/substance-use-services/","true","false","","El documento fuente lo identifica como “BEST PLACE TO START”. La fecha de verificación no fue proporcionada."
"Oakvine Recovery Center","Oakvine Recovery Center","Oakvine Recovery Center","Tratamiento de consumo de sustancias y salud mental para adultos, adolescentes y familias, con opciones ambulatorias y telehealth.","Substance-use and mental-health treatment for adults, teens, and families, with outpatient and telehealth options.","Ofrece tratamiento para consumo de sustancias y salud mental dirigido a adultos, adolescentes y familias. Incluye tratamiento ambulatorio, atención para condiciones concurrentes de salud mental y consumo de sustancias, apoyo de recuperación entre pares y un programa específico de tratamiento diurno para adolescentes.","Provides substance-use and mental-health treatment for adults, teens, and families. Services include outpatient treatment, co-occurring mental-health and substance-use care, peer recovery support, and a dedicated teen day-treatment program.","oakvine-recovery-center","salud","","consumo de sustancias|adolescentes|familia|salud mental|recuperación|telehealth","substance use|youth|teens|family|mental health|recovery|telehealth","en","in_person|online","unknown","El costo, seguro aceptado y elegibilidad varían. Confirme directamente con el proveedor.","Cost, accepted insurance, and eligibility vary. Confirm directly with the provider.","","","Comuníquese con el centro para confirmar disponibilidad, costo, seguro y proceso de admisión.","Contact the center to confirm availability, cost, insurance, and the intake process.","","","","","Round Rock y áreas cercanas de Williamson County.","Round Rock and nearby Williamson County areas.","512-745-9446","","","","https://oakvine.com/","2631 Gattis School Rd.","Bldg. 4, Suite 455","Round Rock","TX","78664","Williamson","","","https://oakvine.com/","false","false","","La disponibilidad de servicios en español debe confirmarse con el proveedor. La fecha de verificación no fue proporcionada."
"Community Medical Services","Community Medical Services – Cedar Park","Community Medical Services – Cedar Park","Tratamiento especializado para trastorno por consumo de opioides, incluyendo heroína y fentanilo, con MAT, consejería y apoyo entre pares.","Specialized treatment for opioid use disorder, including heroin and fentanyl, with MAT, counseling, and peer support.","Clínica especializada en tratamiento del trastorno por consumo de opioides, incluyendo heroína y fentanilo. Ofrece tratamiento asistido con medicamentos (MAT), consejería y apoyo entre pares. El documento fuente indica que la clínica anuncia disponibilidad de tratamiento el mismo día.","Clinic specializing in opioid use disorder treatment, including heroin and fentanyl. Services include medication-assisted treatment (MAT), counseling, and peer support. The source document notes that the clinic advertises same-day treatment availability.","community-medical-services-cedar-park","salud","","consumo de opioides|fentanilo|heroína|MAT|medicamentos|recuperación","opioids|fentanyl|heroin|MAT|medication|recovery","en","in_person","unknown","El costo, seguro y elegibilidad deben verificarse directamente con la clínica.","Cost, insurance, and eligibility should be verified directly with the clinic.","","","Contacte la clínica para confirmar disponibilidad de tratamiento, elegibilidad y costo.","Contact the clinic to confirm treatment availability, eligibility, and cost.","","","","","Cedar Park y áreas cercanas de Williamson County.","Cedar Park and nearby Williamson County areas.","512-986-7743","","","","https://communitymedicalservices.org/locations/addiction-treatment-cedar-park-texas/","1101 Arrow Point Dr.","Suite 214","Cedar Park","TX","78613","Williamson","","","https://communitymedicalservices.org/locations/addiction-treatment-cedar-park-texas/","false","false","","La disponibilidad de servicios en español debe confirmarse. El documento fuente indica disponibilidad anunciada de tratamiento el mismo día; confirme antes de acudir."
"Williamson County Community Supervision & Corrections Department","Servicios Ambulatorios de Williamson County","Williamson County Outpatient Services","Programas de tratamiento de consumo de sustancias para personas elegibles bajo community supervision/probation.","Substance-use treatment programs for eligible people involved in community supervision or probation.","Programas de tratamiento de consumo de sustancias dirigidos específicamente a personas vinculadas a community supervision/probation. Incluye IOP, aftercare, programas ambulatorios de apoyo, intervención para recaídas, educación sobre consumo de sustancias, evaluaciones y consejería individual o familiar opcional. No es un programa de tratamiento de acceso general al público.","Substance-use treatment programs specifically for people involved in community supervision or probation. Services include IOP, aftercare, supportive outpatient programs, relapse intervention, substance-use education, assessments, and optional individual or family counseling. This is not a general-public walk-in treatment program.","williamson-county-outpatient-services","salud","","consumo de sustancias|recuperación|probation|supervisión comunitaria|tratamiento|consejería familiar","substance use|recovery|probation|community supervision|treatment|family counseling","en","in_person","unknown","Solo para personas elegibles dentro del sistema de community supervision/probation. Se aplican requisitos de programa o referido.","For eligible people within the community supervision/probation system. Program or referral requirements apply.","","","Confirme elegibilidad y requisitos de referido con Williamson County Community Supervision & Corrections Department.","Confirm eligibility and referral requirements with the Williamson County Community Supervision & Corrections Department.","","","","","Williamson County; servicio vinculado a community supervision/probation.","Williamson County; service is tied to community supervision/probation.","512-943-1100","","","","https://www.wilcotx.gov/493/Outpatient-Services","710 Main St.","Williamson County Courthouse","Georgetown","TX","78626","Williamson","","","https://www.wilcotx.gov/493/Outpatient-Services","false","false","","Elegibilidad requerida. No presentar como tratamiento disponible al público general."
"Williamson County Community Supervision & Corrections Department","Central Texas Treatment Center","Central Texas Treatment Center","Programa residencial de tratamiento para personas bajo community supervision que cumplen los criterios del programa.","Residential treatment program for people under community supervision who meet program criteria.","Programa residencial de tratamiento del trastorno por consumo de sustancias para personas sentenciadas a community supervision que cumplen los criterios del programa. Incluye servicios psicológicos, educación, habilidades para la vida y apoyo para la recuperación. El documento fuente lo describe como un programa de 100 camas. No es un recurso de rehabilitación de acceso directo sin cita previa.","Residential substance-use disorder treatment for people sentenced to community supervision who meet program criteria. Services include psychological services, education, life skills, and recovery support. The source document describes it as a 100-bed program. It is not a direct-access or walk-in rehabilitation resource.","central-texas-treatment-center","salud","","consumo de sustancias|residencial|recuperación|justicia|supervisión comunitaria","substance use|residential|recovery|justice-involved|community supervision","en","in_person","unknown","Para personas sentenciadas a community supervision que cumplen los criterios del programa. La participación está relacionada con elegibilidad y/o proceso judicial.","For people sentenced to community supervision who meet program criteria. Participation is eligibility- and/or court-related.","","","Confirme elegibilidad y proceso de ingreso con Williamson County Community Supervision & Corrections Department.","Confirm eligibility and intake process with the Williamson County Community Supervision & Corrections Department.","","","","","Williamson County; programa residencial vinculado a community supervision.","Williamson County; residential program tied to community supervision.","512-943-1211","","","","https://www.wilcotx.gov/488/Central-Texas-Treatment-Center","601 N. Alligator Rd., CR 355","","Granger","TX","76530","Williamson","","","https://www.wilcotx.gov/488/Central-Texas-Treatment-Center","false","false","","Elegibilidad requerida. No es un recurso de rehabilitación de acceso directo sin cita previa."
"Yellow House Foundation","Yellow House Foundation","Yellow House Foundation","Espacio comunitario gratuito con reuniones de recuperación de 12 pasos y apoyo para personas y familias.","Free community space offering 12-Step recovery meetings and support for individuals and families.","Espacio comunitario para reuniones de recuperación de 12 pasos. El documento fuente reporta 43 reuniones semanales, incluyendo AA, NA, Al-Anon, Alateen, Cocaine Anonymous, Adult Children of Alcoholics y otros grupos. Es gratuito y cubre una necesidad distinta al tratamiento clínico.","Community space for 12-Step recovery meetings. The source document reports 43 weekly meetings, including AA, NA, Al-Anon, Alateen, Cocaine Anonymous, Adult Children of Alcoholics, and other groups. It is free and addresses a different need from clinical treatment.","yellow-house-foundation","salud","","recuperación|reuniones de 12 pasos|apoyo familiar|gratis|Leander|AA|NA|Al-Anon","recovery|12-step meetings|family support|free|Leander|AA|NA|Al-Anon","en","in_person|online","free","Para personas y familias que buscan apoyo de recuperación.","For individuals and families seeking recovery support.","","","Consulte el calendario o contacte a la fundación para confirmar las reuniones y modalidades disponibles.","Check the schedule or contact the foundation to confirm available meetings and formats.","","","","","Leander y comunidades cercanas de Williamson County.","Leander and nearby Williamson County communities.","737-287-4035","","","","https://www.yhfoundation.org/","804 Leander Dr.","","Leander","TX","78641","Williamson","","","https://www.yhfoundation.org/","true","false","","El documento fuente lo destaca como un recurso especialmente útil por ser gratuito y ofrecer apoyo de recuperación distinto al tratamiento."
"Williamson County","Tribunal de Recuperación Familiar de Williamson County","Williamson County Family Recovery Court","Programa judicial para padres con trastorno por consumo de sustancias moderado a severo involucrados en determinados casos de Child Welfare/CPS.","Court-based program for parents with moderate-to-severe substance use disorder involved in certain Child Welfare/CPS cases.","Programa de Williamson County para padres con trastorno por consumo de sustancias moderado a severo involucrados en determinados casos de Child Welfare/CPS. Ofrece acceso a tratamiento, pruebas de drogas y servicios integrales de apoyo con el objetivo de apoyar la recuperación y la reunificación familiar. Requiere elegibilidad y participación en el programa; no es una opción general para cualquier persona que busque ayuda con adicción.","Williamson County program for parents with moderate-to-severe substance use disorder involved in certain Child Welfare/CPS cases. It provides access to treatment, drug testing, and wraparound services intended to support recovery and family reunification. Eligibility and program participation are required; it is not a general option for anyone seeking addiction help.","williamson-county-family-recovery-court","salud","","recuperación familiar|padres|CPS|Child Welfare|consumo de sustancias|justicia|reunificación","family recovery|parents|CPS|Child Welfare|substance use|justice-involved|reunification","en","in_person","unknown","Para padres con trastorno por consumo de sustancias moderado a severo involucrados en determinados casos de Child Welfare/CPS. Se requiere elegibilidad y participación en el programa.","For parents with moderate-to-severe substance use disorder involved in certain Child Welfare/CPS cases. Eligibility and program participation are required.","","","La participación depende del caso y la elegibilidad. Confirme el proceso directamente con Williamson County.","Participation depends on the case and eligibility. Confirm the process directly with Williamson County.","","","","","Williamson County.","Williamson County.","","","","","https://www.wilcotx.gov/502/Family-Recovery-Court","","","","TX","","Williamson","","","https://www.wilcotx.gov/502/Family-Recovery-Court","false","false","","Elegibilidad requerida. El documento fuente recomienda no mostrarlo entre las primeras opciones para una búsqueda general de ayuda con adicción."
"Bluebonnet Trails Community Services","Servicios de Salud Mental de Bluebonnet Trails","Bluebonnet Trails Community Services – Mental Health","Servicios comunitarios de salud conductual, respuesta a crisis, manejo de casos y apoyo para jóvenes y familias en Williamson County.","Community behavioral health, crisis response, case management, and youth/family support across Williamson County.","Proveedor comunitario de salud conductual que atiende Williamson County. Ofrece servicios de salud mental, respuesta a crisis, manejo de casos, servicios para jóvenes y familias, servicios de consumo de sustancias y otros apoyos comunitarios. Tiene ubicaciones en Round Rock, Cedar Park, Taylor y Liberty Hill.","Community behavioral health provider serving Williamson County. Services include mental health care, crisis response, case management, youth and family services, substance-use services, and other community supports. Williamson County locations include Round Rock, Cedar Park, Taylor, and Liberty Hill.","bluebonnet-trails-mental-health","salud","","salud mental|crisis|jóvenes|familia|consumo de sustancias|español|bajo costo","mental health|crisis|youth|family|substance use|Spanish|low cost","es|en","in_person","free","La elegibilidad y el costo varían según el servicio.","Eligibility and cost vary by service.","","","Llame para orientación, evaluación o acceso al servicio apropiado. Línea de crisis disponible 24/7.","Call for guidance, assessment, or access to the appropriate service. A 24/7 crisis line is available.","","","","","Williamson County, incluyendo Round Rock, Cedar Park, Taylor y Liberty Hill.","Williamson County, including Round Rock, Cedar Park, Taylor, and Liberty Hill.","844-309-6385","","","","https://bbtrails.org/","1009 N. Georgetown St.","","Round Rock","TX","78664","Williamson","","","https://bbtrails.org/","true","false","","Crisis 24/7: 800-841-1255. El documento fuente no proporciona fecha de verificación."
"Lone Star Circle of Care","Lone Star Circle of Care – Salud Conductual de Round Rock","Lone Star Circle of Care – Round Rock Behavioral Health","Psicoterapia y atención psiquiátrica con escala móvil de tarifas, pacientes sin seguro e interpretación gratuita.","Psychotherapy and psychiatric care with a sliding fee scale, uninsured patients accepted, and free interpretation.","Servicios de salud conductual que incluyen psicoterapia y atención psiquiátrica. La evaluación inicial puede realizarse en persona o virtualmente. Lone Star Circle of Care es un FQHC y atiende a pacientes con y sin seguro; las tarifas para personas sin seguro se basan en ingresos y tamaño del hogar. Hay otra ubicación de salud conductual en 3950 N. A.W. Grimes Blvd., Suite N102, Round Rock, donde varios proveedores aparecen como bilingües inglés/español.","Behavioral health services including psychotherapy and psychiatric care. Initial behavioral-health assessment can be completed in person or virtually. Lone Star Circle of Care is an FQHC serving insured and uninsured patients; uninsured fees are based on household size and income. A second behavioral-health location is at 3950 N. A.W. Grimes Blvd., Suite N102, Round Rock, where several providers are listed as English/Spanish bilingual.","lone-star-circle-of-care-round-rock-behavioral-health","salud","","salud mental|terapia|psiquiatría|jóvenes|adultos|español|virtual|escala móvil","mental health|counseling|psychiatry|youth|adults|Spanish|virtual|sliding scale","es|en","in_person|online","sliding_scale","Acepta pacientes asegurados y sin seguro. Para pacientes sin seguro, la tarifa se basa en ingreso y tamaño del hogar.","Insured and uninsured patients are accepted. Uninsured fees are based on household size and income.","","","Llame para programar una evaluación inicial y confirmar disponibilidad.","Call to schedule an initial assessment and confirm availability.","","","","","Round Rock y Williamson County.","Round Rock and Williamson County.","877-800-5722","","","","https://lonestarcares.org/","2120 N. Mays St.","Suite 430","Round Rock","TX","78665","Williamson","","","https://lonestarcares.org/","true","false","","Segunda ubicación indicada en la fuente: 3950 N. A.W. Grimes Blvd., Suite N102, Round Rock, TX 78665. Fecha de verificación no proporcionada."
"Lone Star Circle of Care","Lone Star Circle of Care – Salud Conductual de Georgetown","Lone Star Circle of Care – Georgetown Behavioral Health","Atención de salud conductual asequible integrada con un centro de salud comunitario, con opciones presenciales y virtuales.","Affordable behavioral-health care integrated with a community health center, with in-person and virtual options.","Servicios de salud conductual dentro de un centro de salud comunitario. Es una opción para residentes del área de Georgetown que buscan atención de salud mental asequible dentro de un sistema integrado de atención médica y salud conductual.","Behavioral health services within a community health center. A useful option for Georgetown-area residents seeking affordable mental-health care in an integrated medical and behavioral-health system.","lone-star-circle-of-care-georgetown-behavioral-health","salud","","salud mental|terapia|psiquiatría|adultos|jóvenes|español|bajo costo","mental health|counseling|psychiatry|adults|youth|Spanish|low cost","es|en","in_person|online","sliding_scale","Acepta pacientes sin seguro; pueden aplicar tarifas según ingreso y tamaño del hogar.","Uninsured patients are accepted; fees may be based on household size and income.","","","Llame para programar y confirmar disponibilidad.","Call to schedule and confirm availability.","","","","","Georgetown y Williamson County.","Georgetown and Williamson County.","877-800-5722","","","","https://lonestarcares.org/","2423 Williams Dr.","Suite 108","Georgetown","TX","78628","Williamson","","","https://lonestarcares.org/","true","false","","El documento fuente no proporciona fecha de verificación."
