organization_name,title_es,title_en,summary_es,summary_en,description_es,description_en,slug,primary_category,additional_categories,keywords_es,keywords_en,languages,service_methods,cost_type,eligibility_es,eligibility_en,required_documents_es,required_documents_en,application_steps_es,application_steps_en,hours_es,hours_en,accessibility_notes_es,accessibility_notes_en,service_area_es,service_area_en,phone,sms_phone,whatsapp_phone,email,website_url,address_line_1,address_line_2,city,state,postal_code,county,latitude,longitude,source_url,is_featured,is_emergency,last_verified_at,verification_notes
"Bastrop County Clerk","Bastrop County Clerk","Bastrop County Clerk","Solicita registros vitales, licencias de matrimonio, registros de propiedad y documentos de probate o delitos menores en Bastrop County.","Request vital records, marriage licenses, property records, and probate or misdemeanor documents in Bastrop County.","La oficina conserva registros oficiales del condado y actúa como clerk para probate, misdemeanors y Commissioners Court. Confirma requisitos y tarifas antes de solicitar copias.","The office maintains official county records and serves as clerk for probate, misdemeanor, and Commissioners Court matters. Confirm requirements and fees before requesting copies.","","ayuda-legal","otros-recursos","","","en","in_person|phone|online","paid","","","","","","","","","","","Condado de Bastrop","Bastrop County","512-332-7234","","","","https://www.bastropcounty.gov/page/co.county_clerk","803 Pine Street","","Bastrop","TX","78602","Bastrop","","","https://www.bastropcounty.gov/page/co.county_clerk","false","false","2026-08-18","Fuente oficial revisada el 18 de agosto de 2026. Las tarifas y documentos dependen del tipo de registro."
"Travis County Domestic Relations (Child Support)","Travis County Domestic Relations (Child Support)","Travis County Domestic Relations (Child Support)","Ayuda con cobro, desembolso y cumplimiento de órdenes de manutención infantil, médica y visitas de Travis County.","Help with collection, disbursement, and enforcement of Travis County child, medical support, and visitation orders.","La Domestic Relations Office mantiene cuentas y registros de pagos y puede ayudar a cumplir órdenes emitidas en Travis County. El sistema telefónico automatizado puede requerir PIN y número de Seguro Social.","The Domestic Relations Office maintains accounts and payment records and may assist with enforcement of Travis County orders. The automated phone system may require a PIN and Social Security number.","","ayuda-legal","","","","en","in_person|phone","unknown","Personas con órdenes elegibles de Travis County.","People with eligible Travis County orders.","","","","","Lunes a viernes, 8:00 a.m. a 5:00 p.m.","Monday through Friday, 8:00 a.m. to 5:00 p.m.","","","Condado de Travis","Travis County","512-854-9696","","","","https://www.traviscountytx.gov/dro","1700 Guadalupe Street","5th Floor","Austin","TX","78701","Travis","","","https://www.traviscountytx.gov/dro/contact-us","false","false","2026-08-18","Fuente oficial revisada el 18 de agosto de 2026."
"Travis County District Clerk","Travis County District Clerk – Divorcios","Travis County District Clerk – Divorces","Información, registros y trámites administrativos para casos de divorcio y familia en Travis County.","Administrative filing information and records for divorce and family cases in Travis County.","La división Civil/Family mantiene expedientes y recibe documentos. El personal del clerk no brinda asesoría legal.","The Civil/Family division maintains case files and receives filings. Clerk staff do not provide legal advice.","","ayuda-legal","","","","en","in_person|phone|online","paid","","","","","","","Lunes a viernes, 8:00 a.m. a 4:30 p.m.","Monday through Friday, 8:00 a.m. to 4:30 p.m.","","","Condado de Travis","Travis County","512-854-9457","","","","https://www.traviscountytx.gov/district-clerk","1700 Guadalupe Street","3rd Floor","Austin","TX","78701","Travis","","","https://www.traviscountytx.gov/district-clerk/contact","false","false","2026-08-18","Fuente oficial revisada el 18 de agosto de 2026; confirmar tarifas según trámite."
"Travis County District Clerk","Travis County District Clerk – Jurado y Pasaportes","Travis County District Clerk – Jury and Passports","Información y atención para servicio de jurado y solicitudes de pasaporte en Travis County.","Information and assistance for jury service and passport applications in Travis County.","La oficina de Jury/Passport atiende asuntos relacionados con jurado y pasaportes. Confirma cita, documentos y tarifas antes de ir.","The Jury/Passport office handles jury and passport matters. Confirm appointment, documents, and fees before visiting.","","ayuda-legal","otros-recursos","","","en","in_person|phone|online","paid","","","","","","","Lunes a viernes, 8:00 a.m. a 4:30 p.m.","Monday through Friday, 8:00 a.m. to 4:30 p.m.","","","Condado de Travis","Travis County","512-854-9669","","","","https://www.traviscountytx.gov/district-clerk","5325 Airport Boulevard","Suite 1100","Austin","TX","78751","Travis","","","https://www.traviscountytx.gov/district-clerk/contact","false","false","2026-08-18","Fuente oficial revisada el 18 de agosto de 2026; confirmar requisitos y tarifas de pasaporte."
"Travis County Law Library","Travis County Law Library","Travis County Law Library","Formularios, información legal y revisión gratuita de algunos casos familiares no disputados para personas sin abogado.","Forms, legal information, and free review of some uncontested family cases for people without attorneys.","Ofrece recursos legales de autoayuda. Family Law Case Review está limitado a casos sencillos, no disputados, en Travis County y no crea una relación abogado-cliente.","Provides self-help legal resources. Family Law Case Review is limited to simple, uncontested Travis County cases and does not create an attorney-client relationship.","","ayuda-legal","","","","en","in_person|phone|online","free","Para Case Review: caso familiar sencillo en Travis County, sin abogado y no disputado.","For Case Review: a simple, uncontested Travis County family case with no attorney.","","","","","Lunes a viernes, 8:00 a.m. a 5:00 p.m.","Monday through Friday, 8:00 a.m. to 5:00 p.m.","","","Condado de Travis","Travis County","512-854-8677","","","","https://lawlibrary.traviscountytx.gov","1700 Guadalupe Street","2nd Floor","Austin","TX","78701","Travis","","","https://lawlibrary.traviscountytx.gov/family-law-case-review","false","false","2026-08-18","Fuentes oficiales revisadas el 18 de agosto de 2026."
"Travis County Tax Office","Travis County Tax Office","Travis County Tax Office","Consulta facturas y recibos, realiza pagos y pregunta por opciones o planes para impuestos de propiedad de Travis County.","Review bills and receipts, make payments, and ask about options or plans for Travis County property taxes.","La Tax Office cobra impuestos y ofrece servicios en línea, por teléfono y en persona. Las exenciones y protestas de valor corresponden a TCAD, no a esta oficina.","The Tax Office collects taxes and offers online, phone, and in-person services. Exemptions and value protests are handled by TCAD, not this office.","","recursos-financieros","","","","en","in_person|phone|online","unknown","","","","","","","Lunes a viernes, 7:30 a.m. a 5:00 p.m.","Monday through Friday, 7:30 a.m. to 5:00 p.m.","","","Condado de Travis","Travis County","512-854-9473","","","taxoffice@traviscountytx.gov","https://tax-office.traviscountytx.gov","2433 Ridgepoint Drive","","Austin","TX","78754","Travis","","","https://tax-office.traviscountytx.gov/properties/taxes/payment-methods/in-person","false","false","2026-08-18","Fuentes oficiales revisadas el 18 de agosto de 2026."
"Travis County Clerk's Office","Travis County Clerk's Office – División Civil","Travis County Clerk's Office – Civil Division","Registros y trámites administrativos de casos civiles en Travis County.","Administrative records and filing services for Travis County civil cases.","Registros y trámites administrativos de casos civiles en Travis County. Confirma requisitos, disponibilidad de documentos y tarifas con la división antes de presentar una solicitud.","Administrative records and filing services for Travis County civil cases. Confirm requirements, document availability, and fees with the division before submitting a request.","","ayuda-legal","","","","en","in_person|phone|online","paid","","","","","","","Lunes a viernes, 8:00 a.m. a 5:00 p.m.","Monday through Friday, 8:00 a.m. to 5:00 p.m.","","","Condado de Travis","Travis County","512-854-5959","","","","https://countyclerk.traviscountytx.gov/departments/civil/","1700 Guadalupe Street","Suite 4.300","Austin","TX","78701","Travis","","","https://countyclerk.traviscountytx.gov/departments/","false","false","2026-08-18","Fuente oficial revisada el 18 de agosto de 2026."
"Travis County Clerk's Office","Travis County Clerk's Office – División de Delitos Menores","Travis County Clerk's Office – Misdemeanor Division","Búsqueda, copias y trámites de expedientes de delitos menores de Travis County.","Searches, copies, and filing services for Travis County misdemeanor records.","Búsqueda, copias y trámites de expedientes de delitos menores de Travis County. Confirma requisitos, disponibilidad de documentos y tarifas con la división antes de presentar una solicitud.","Searches, copies, and filing services for Travis County misdemeanor records. Confirm requirements, document availability, and fees with the division before submitting a request.","","ayuda-legal","","","","en","in_person|phone|online","paid","","","","","","","Lunes a viernes, 8:00 a.m. a 5:00 p.m.","Monday through Friday, 8:00 a.m. to 5:00 p.m.","","","Condado de Travis","Travis County","512-854-9188","","","","https://countyclerk.traviscountytx.gov/departments/misdemeanor/","1000 Guadalupe Street","Suite 222","Austin","TX","78701","Travis","","","https://countyclerk.traviscountytx.gov/departments/","false","false","2026-08-18","Fuente oficial revisada el 18 de agosto de 2026."
"Travis County Clerk's Office","Travis County Clerk's Office – División de Sucesiones","Travis County Clerk's Office – Probate Division","Trámites y registros de probate, guardianship y documentos relacionados en Travis County.","Probate, guardianship, and related records and filing services in Travis County.","Trámites y registros de probate, guardianship y documentos relacionados en Travis County. Confirma requisitos, disponibilidad de documentos y tarifas con la división antes de presentar una solicitud.","Probate, guardianship, and related records and filing services in Travis County. Confirm requirements, document availability, and fees with the division before submitting a request.","","ayuda-legal","","","","en","in_person|phone|online","paid","","","","","","","Lunes a viernes, 8:00 a.m. a 5:00 p.m.","Monday through Friday, 8:00 a.m. to 5:00 p.m.","","","Condado de Travis","Travis County","512-854-5958","","","","https://countyclerk.traviscountytx.gov/departments/probate/","200 West 8th Street","Suite 110","Austin","TX","78701","Travis","","","https://countyclerk.traviscountytx.gov/departments/","false","false","2026-08-18","Fuente oficial revisada el 18 de agosto de 2026."
"Travis County Clerk's Office","Travis County Clerk's Office – División de Registros","Travis County Clerk's Office – Recording Division","Registros de propiedad, assumed names, marriage licenses y otros documentos oficiales.","Property records, assumed names, marriage licenses, and other official documents.","Registros de propiedad, assumed names, marriage licenses y otros documentos oficiales. Confirma requisitos, disponibilidad de documentos y tarifas con la división antes de presentar una solicitud.","Property records, assumed names, marriage licenses, and other official documents. Confirm requirements, document availability, and fees with the division before submitting a request.","","ayuda-legal","","","","en","in_person|phone|online","paid","","","","","","","Lunes a viernes, 8:00 a.m. a 5:00 p.m.","Monday through Friday, 8:00 a.m. to 5:00 p.m.","","","Condado de Travis","Travis County","512-854-9188","","","","https://countyclerk.traviscountytx.gov/departments/recording/","5501 Airport Boulevard","","Austin","TX","78751","Travis","","","https://countyclerk.traviscountytx.gov/departments/","false","false","2026-08-18","Fuente oficial revisada el 18 de agosto de 2026."
