score,titleSim,summarySim,shared,a_slug,a_status,a_org,a_title,b_slug,b_status,b_org,b_title
"1","0.75","1","ph:8778005722 web:lonestarcaresorglocation","lone-star-circle-of-care-cedar-park","published","Lone Star Circle of Care","Clínica comunitaria de Cedar Park","lone-star-circle-of-care-aw-grimes","published","Lone Star Circle of Care","Clínica comunitaria de Round Rock"
"1","0.7","1","ph:8778005722 web:lonestarcaresorglocation","lone-star-circle-of-care-cedar-park","published","Lone Star Circle of Care","Clínica comunitaria de Cedar Park","lone-star-circle-of-care-georgetown","published","Lone Star Circle of Care","Clínica comunitaria de Georgetown"
"1","0.71","1","ph:8778005722 web:lonestarcaresorglocation","lone-star-circle-of-care-aw-grimes","published","Lone Star Circle of Care","Clínica comunitaria de Round Rock","lone-star-circle-of-care-georgetown","published","Lone Star Circle of Care","Clínica comunitaria de Georgetown"
"1","1","0.83","ph:8333298752","asistencia-legal-civil-gratuita-texas-riogrande-legal-aid","archived","Texas RioGrande Legal Aid","Asistencia legal civil gratuita","texas-riogrande-legal-aid-williamson-county","published","Texas RioGrande Legal Aid","Asistencia legal civil gratuita"
"1","1","0.57","ph:5124780546 web:americangatewaysorg","servicios-legales-de-inmigracion-american-gateways","published","American Gateways","Servicios legales de inmigración","american-gateways-american-gateways","draft","American Gateways","Servicios legales de inmigración"
"1","1","0.83","ph:8443096385 web:bbtrailsorgbehavioralhealthservices","bluebonnet-trails-mental-health-williamson","archived","Bluebonnet Trails Community Services","Servicios de salud mental y crisis","bluebonnet-trails-mental-health","published","Bluebonnet Trails Community Services","Servicios de salud mental y crisis"
"1","1","0.72","ph:5129430700 addr:2000 railroad avenue|georgetown","the-caring-place-community-assistance","archived","The Caring Place","Alimentos y asistencia por crisis","the-caring-place","published","The Caring Place","Alimentos y asistencia por crisis"
"1","1","0.62","ph:5122590360","hill-country-community-ministries-food-pantry","published","Hill Country Community Ministries","Alimentos y asistencia para necesidades básicas","hill-country-community-ministries-food-and-basic-needs-assistance","archived","Hill Country Community Ministries","Alimentos y asistencia para necesidades básicas"
"1","1","0.7","ph:5128824673 addr:1101 n mays st|round rock","hope-counseling-program-williamson-county","published","Texas Baptist Children's Home","Consejería Hope","programa-de-consejeria-hope-texas-baptist-children-s-home","archived","Texas Baptist Children's Home","Programa de Consejería Hope"
"1","0.72","1","ph:5129725520 web:austintexasgovservicesgetfreeorlowcostvaccines","austin-public-health-far-south-immunization-clinic","published","Austin Public Health","Clínica de vacunación Far South","austin-public-health-st-johns-immunization-clinic","published","Austin Public Health","Clínica de vacunación St. Johns"
"1","1","0.65","ph:5125507755","greater-mt-zion-church-greater-mt-zion-church-2","published","Greater Mt. Zion Church","Despensa de Alimentos","greater-mt-zion-church-food-pantry-travis","draft","Greater Mt. Zion Church Food Pantry","Despensa de alimentos"
"1","1","0.76","ph:5125814006 web:bastropcountygovpagecoveteranservices addr:104 loop 150|bastrop","oficina-de-servicios-para-veteranos-del-condado-de-bastrop-bastrop-county","published","Bastrop County","Oficina de Servicios para Veteranos del Condado de Bastrop","oficina-de-servicios-para-veteranos-del-condado-de-bastrop-bastrop-county-government","draft","Bastrop County Government","Oficina de Servicios para Veteranos del Condado de Bastrop"
"1","0.54","1","ph:5123921161 web:communityactioncom","community-action-of-central-texas-housing-and-financial-assistance-williamson","draft","Community Action of Central Texas","Referidos para servicios públicos y medicamentos","community-action-for-central-texas-housing-and-financial-assistance-bastrop","draft","Community Action for Central Texas","Referidos para asistencia energética"
"1","1","1","ph:5124611691 web:smithvillefoodpantryorg","despensa-de-alimentos-de-smithville-smithville-food-pantry","draft","Smithville Food Pantry","Despensa de alimentos","smithville-food-pantry-bastrop","archived","Smithville Food Pantry","Despensa de alimentos"
"1","1","1","web:smithvillefoodpantryorg","despensa-de-alimentos-de-smithville-smithville-food-pantry","draft","Smithville Food Pantry","Despensa de alimentos","smithville-food-pantry-bastrop-2","archived","Smithville Food Pantry","Despensa de alimentos"
