slug,status,organization,code,detail
"encuentra-alimentos-cerca-de-ti-central-texas-food-bank","published","Central Texas Food Bank","no_description_either_language",""
"encuentra-alimentos-cerca-de-ti-central-texas-food-bank","published","Central Texas Food Bank","in_person_without_address",""
"comidas-calientes-y-duchas-en-angel-house-austin-baptist-chapel","published","Austin Baptist Chapel","no_description_either_language",""
"buscador-de-vivienda-asequible-de-austin-city-of-austin-housing-department","published","City of Austin Housing Department","no_description_either_language",""
"vivienda-publica-y-subsidiada-housing-authority-of-the-city-of-austin","published","Housing Authority of the City of Austin","no_description_either_language",""
"atencion-medica-primaria-y-especializada-communitycare-health-centers","published","CommUnityCare Health Centers","in_person_without_address",""
"clinica-de-salud-ben-white-lone-star-circle-of-care","published","Lone Star Circle of Care","no_description_either_language",""
"tarifas-reducidas-equifare-capmetro","published","CapMetro","no_description_either_language",""
"transporte-rural-y-regional-en-travis-county-capital-area-rural-transportation-system-carts","published","Capital Area Rural Transportation System (CARTS)","no_description_either_language",""
"transporte-rural-y-regional-en-travis-county-capital-area-rural-transportation-system-carts","published","Capital Area Rural Transportation System (CARTS)","in_person_without_address",""
"transporte-gratuito-para-adultos-mayores-drive-a-senior","published","Drive a Senior","no_description_either_language",""
"transporte-gratuito-para-adultos-mayores-drive-a-senior","published","Drive a Senior","in_person_without_address",""
"descuentos-y-ayuda-con-servicios-publicos-city-of-austin-utilities-austin-energy","published","City of Austin Utilities / Austin Energy","no_description_either_language",""
"descuentos-y-ayuda-con-servicios-publicos-city-of-austin-utilities-austin-energy","published","City of Austin Utilities / Austin Energy","in_person_without_address",""
"ayuda-para-pagar-servicios-publicos-travis-county-health-and-human-services","published","Travis County Health and Human Services","no_description_either_language",""
"ayuda-para-pagar-servicios-publicos-travis-county-health-and-human-services","published","Travis County Health and Human Services","in_person_without_address",""
"clases-de-ingles-ged-y-capacitacion-laboral-austin-community-college-district","published","Austin Community College District","no_description_either_language",""
"clases-de-ingles-ged-y-capacitacion-laboral-austin-community-college-district","published","Austin Community College District","in_person_without_address",""
"educacion-para-adultos-y-preparacion-laboral-literacy-coalition-of-central-texas","published","Literacy Coalition of Central Texas","no_description_either_language",""
"educacion-para-adultos-y-preparacion-laboral-literacy-coalition-of-central-texas","published","Literacy Coalition of Central Texas","in_person_without_address",""
"clases-de-ingles-y-alfabetizacion-digital-el-buen-samaritano","published","El Buen Samaritano","no_description_either_language",""
"asistencia-legal-civil-gratuita-texas-riogrande-legal-aid","archived","Texas RioGrande Legal Aid","no_description_either_language",""
"orientacion-para-encontrar-ayuda-local-2-1-1-texas","published","2-1-1 Texas","no_description_either_language",""
"linea-confidencial-24-7-para-violencia-y-abuso-the-safe-alliance","published","The SAFE Alliance","no_description_either_language",""
"williamson-county-community-resource-navigation","published","Williamson County Community Resource Center","no_description_either_language",""
"central-texas-food-bank-benefits-williamson","published","Central Texas Food Bank","in_person_without_address",""
"owbc-head-start-williamson","published","Opportunities for Williamson & Burnet Counties","no_description_either_language",""
"owbc-head-start-williamson","published","Opportunities for Williamson & Burnet Counties","in_person_without_address",""
"hope-alliance-survivor-services","published","Hope Alliance","no_description_either_language",""
"bluebonnet-trails-mental-health-williamson","archived","Bluebonnet Trails Community Services","no_description_either_language",""
"bluebonnet-trails-mental-health-williamson","archived","Bluebonnet Trails Community Services","in_person_without_address",""
"bluebonnet-trails-osar-williamson","published","Bluebonnet Trails Community Services","no_description_either_language",""
"feed-wilco-home-delivery","published","Feed Wilco","no_description_either_language",""
"brighter-days-food-pantry","published","Leander Church of Christ","no_description_either_language",""
"the-caring-place-community-assistance","archived","The Caring Place","no_description_either_language",""
"operation-liberty-hill-food-pantry","published","Operation Liberty Hill","no_description_either_language",""
"shepherds-heart-taylor-assistance","published","Shepherd's Heart Food Pantry","no_description_either_language",""
"carts-williamson-county-transportation","published","Capital Area Rural Transportation System","no_description_either_language",""
"carts-williamson-county-transportation","published","Capital Area Rural Transportation System","in_person_without_address",""
"faith-in-action-georgetown-rides","published","Faith in Action Georgetown","no_description_either_language",""
"texas-medicaid-medical-transportation","published","Texas Health and Human Services","no_description_either_language",""
"lone-star-circle-of-care-cedar-park","published","Lone Star Circle of Care","no_description_either_language",""
"lone-star-circle-of-care-aw-grimes","published","Lone Star Circle of Care","no_description_either_language",""
"sacred-heart-community-clinic","published","Sacred Heart Community Clinic","no_description_either_language",""
"sacred-heart-community-clinic","published","Sacred Heart Community Clinic","in_person_without_address",""
"samaritan-health-ministries-leander","published","Samaritan Health Ministries","no_description_either_language",""
"wcchd-wilco-care","published","Williamson County and Cities Health District","no_description_either_language",""
"wcchd-wic-williamson","published","Williamson County and Cities Health District","no_description_either_language",""
"wcchd-wic-williamson","published","Williamson County and Cities Health District","in_person_without_address",""
"habitat-williamson-county-housing","published","Habitat for Humanity of Williamson County","no_description_either_language",""
"community-action-adult-education-williamson","published","Community Action, Inc. of Central Texas","no_description_either_language",""
